id,type,name,address
TNSD020011,highschool,Liceo Arti Vittoria Bonporti Depero,Via delle Fosse 9 38068  Rovereto  TN
TNSD010009,highschool,Giuseppe Soraperra,Strada Dolomites 6 38036  San Giovanni di Fassa  TN
TNSD02000X,highschool,Liceo Arti Vittoria Bonporti Depero,Via Zambra 3 38121  Trento  TN
TNPS00500B,highschool,Gardascuola,Via XXIV Maggio 1 38062  Arco  TN
TNPS002011,highschool,Alcide Degasperi,Via XXIV Maggio 6 38051  Borgo Valsugana  TN
TNPS001015,highschool,LA Rosa Bianca-Weisse Rose,Via Gandhi 1 38033  Cavalese  TN
TNPS006018,highschool,Bertrand Russell,Via IV Novembre 35 38023  Cles  TN
TNPS00301R,highschool,Martino Martini,Via Perlasca 4 38017  Mezzolombardo  TN
TNPS00401L,highschool,Marie Curie,Via San Pietro 4 38057  Pergine Valsugana  TN
TNPS100005,highschool,Fiera di Primiero,Via G.A. Scopoli 1 38054  Primiero San Martino di Castrozza  TN
TNPSID500S,highschool,Liceo Steam International,Via Fortunato Zeni 8 38068  Rovereto  TN
TNPS09000Q,highschool,Giuseppe Soraperra,Strada Dolomites 1 38036  San Giovanni di Fassa  TN
TNPS007014,highschool,Lorenzo Guetti,Via Durone 53 38079  Tione di Trento  TN
TNPS01000V,highschool,Galileo Galilei,Viale N.Bolognini 88 38122  Trento  TN
TNPS02000D,highschool,Leonardo da Vinci,Via Giusti 1/1 38122  Trento  TN
TNPS11000Q,highschool,Linguistico Sophie Magdalena Scholl Tn,Via Mattioli 8 38122  Trento  TN
TNPS015002,highschool,Collegio Arcivescovile Celestino Endrici,Via Celestino Endrici 23 38122  Trento  TN
TNPM006019,highschool,Degasperi,Via Trento 30 38023  Cles  TN
TNPM02000E,highschool,Fabio Filzi,Corso Antonio Rosmini 61 38068  Rovereto  TN
TNPM01000X,highschool,Antonio Rosmini,Via B.Malfatti 2 38122  Trento  TN
TNPM010509,highschool,Antonio Rosmini - Trento - Serale,Via B.Malfatti 2 38122  Trento  TN
TNPM015003,highschool,Istituto Sacro Cuore,Piazza Santa Teresa Verzeri 4 38122  Trento  TN
TNPC01000Q,highschool,Andrea Maffei,Viale F.A.Lutti 7 38066  Riva del Garda  TN
TNPC02000A,highschool,Antonio Rosmini,Corso A.Bettini 86 38068  Rovereto  TN
TNPC04000G,highschool,Giovanni Prati,Via Santissima Trinita' 38 38122  Trento  TN
TNPC01500V,highschool,Collegio Arcivescovile Celestino Endrici,Via Celestino Endrici 23 38122  Trento  TN
TNPL005006,highschool,Arcivescovile-Dame Inglesi,Corso Bettini 71 38068  Rovereto  TN
TNTL00101B,highschool,LA Rosa Bianca-Weisse Rose,Via Gandhi 1 38033  Cavalese  TN
TNTF008012,highschool,Giacomo Floriani,Via Sant'Alessandro 38066  Riva del Garda  TN
TNTF02000G,highschool,Guglielmo Marconi,Via Padre F.Monti 1 38068  Rovereto  TN
TNTF020501,highschool,Guglielmo Marconi Rovereto Serale,Via F. Monti 1 38068  Rovereto  TN
TNTA01500B,highschool,Istituto Provinciale Agrario,Via E.Mach 1 38098  San Michele all'Adige  TN
TNTF01301D,highschool,M. Buonarroti,Via Brigata Acqui 15 38122  Trento  TN
TNTF01351V,highschool,M. Buonarroti - Trento Serale,Via Brigata Acqui 15 38122  Trento  TN
TNTL01301N,highschool,M. Buonarroti,Via Brigata Acqui 15 38122  Trento  TN
TNTL013513,highschool,M. Buonarroti - Trento - Serale,Via Brigata Acqui 15 38122  Trento  TN
TNRC004015,highschool,Marie Curie,Viale Vittorio Emanuele 134 38056  Levico Terme  TN
TNRC003019,highschool,Martino Martini,Via Perlasca 4 38017  Mezzolombardo  TN
TNRC00350N,highschool,Martino Martini-Mezzolombardo - Serale,Via Perlasca 4 38017  Mezzolombardo  TN
TNRC009018,highschool,Don Lorenzo Milani,Via Balista 38068  Rovereto  TN
TNRC00951N,highschool,Don Lorenzo Milani - Rovereto-Serale,Via Balista 38068  Rovereto  TN
TNRI015007,highschool,Istituto Ivo De Carneri,Via Murialdo 30 38045  Civezzano  TN
