stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,seats,covered
1,Baselga Del Bondone,46.078325,11.047354,2,0,1
2,Baselga Del Bondone,46.078582,11.047538,1,1,0
3,Belvedere,46.044406,11.105338,0,0,0
4,Lamar Ponte Avisio,46.134621,11.110910,2,1,1
5,Sp 85 Bivio Sopramonte,46.085226,11.069310,2,1,0
7,Maso Bolleri,46.102486,11.124171,2,0,0
8,Maso Bolleri,46.102235,11.123937,2,0,1
9,Borino,46.067116,11.165636,2,1,0
10,Cadine Strada Gardesana,46.088631,11.065015,1,1,1
11,Cadine Strada Gardesana,46.088730,11.064506,1,1,0
12,Canova Paludi,46.099171,11.109311,1,0,1
13,Gardolo "Materna Paludi",46.103847,11.108231,2,0,1
14,Centro Commerciale,46.091584,11.105649,0,0,1
15,Asiago S.Bartolameo,46.047972,11.137453,1,1,0
17,Cognola "Toresela",46.078904,11.153469,2,1,1
18,Cognola "Toresela",46.078864,11.153925,2,0,1
19,Cognola Bivio Civezzano,46.080614,11.158416,2,0,0
20,Cognola Bivio Civezzano,46.080472,11.158399,2,0,0
21,Cognola "Centro Civico",46.076473,11.141510,1,1,0
22,Cognola Grezoni,46.075912,11.146830,2,0,0
23,Cognola Grezoni,46.076012,11.146610,2,1,0
24,San Vito,46.075332,11.139030,1,0,1
25,Cognola S.Vito,46.075697,11.140793,2,0,1
26,Cognola S.Vito,46.075623,11.141782,2,1,0
27,San Vito,46.075434,11.138830,1,1,0
28,Cognola "Scuole",46.075699,11.143988,2,0,0
29,Cognola "Scuole",46.075854,11.144058,2,0,1
30,Cognola Alla Veduta "Roza",46.077564,11.151099,1,0,0
31,Cognola Alla Veduta "Roza",46.078008,11.151428,2,0,0
32,Brescia "Villa Salvotti",46.076123,11.101180,2,0,0
37,Degli Alpini Oberziner,46.079103,11.118140,2,0,1
38,Cortesano,46.124481,11.133815,0,1,1
39,Vigo Meano Alle Gorghe,46.129890,11.134567,1,1,0
40,Vigo Meano Alle Gorghe,46.129522,11.134676,2,1,1
43,Forte Bus De Vela,46.085330,11.069655,0,1,0
46,Gabbiolo "Campo Sportivo",46.055266,11.148978,1,1,0
47,Gabbiolo "Campo Sportivo",46.055311,11.148779,1,0,1
48,Sp 76 Carpenedi,46.117196,11.108674,2,1,0
49,Sp 76 Carpenedi,46.117172,11.108435,2,1,1
50,Gardolo S.Anna,46.111145,11.109540,1,1,1
51,Gardolo S.Anna,46.110834,11.109569,1,0,1
52,Gardolo P.Le Neufahrn Sud,46.106559,11.111462,1,1,1
53,Gardolo P.Le Neufahrn Nord,46.106679,11.111440,1,0,0
54,Gardolo Piazza,46.108340,11.111715,1,1,0
55,Gardolo Piazza,46.108506,11.111432,2,1,1
56,Canova Aichner,46.101857,11.103280,2,1,0
57,Canova Via Della Canova,46.100302,11.106534,1,1,1
58,Gardolo Don Milani 8 Marzo,46.103935,11.117580,2,1,1
59,Gardolo D.Milani "Piscina",46.106686,11.114323,2,0,1
60,Gardolo D.Milani "Piscina",46.106749,11.114386,2,0,1
61,Gardolo Don Milani 8 Marzo,46.104205,11.117277,2,0,0
62,Gardolo S.Anna Carpenedi,46.113321,11.107851,1,1,0
63,Gardolo S.Anna Carpenedi,46.113375,11.107612,1,1,0
64,Gardolo Svincolo Ss.12,46.106227,11.109068,1,0,1
65,Gazzadina Strada Vecchia,46.130110,11.126039,2,1,1
66,Gazzadina Al Pontat,46.128445,11.129215,2,1,0
67,Gazzadina Al Pontat,46.128599,11.129266,2,1,0
68,Gazzadina Strada Vecchia,46.130191,11.125941,2,0,1
69,Grotta Piazza,46.045801,11.151127,2,1,0
70,Grotta Bindesi,46.043393,11.151713,2,1,1
71,Grotta Bindesi,46.043503,11.151588,2,1,1
72,Ss 12 "Zona Ind.Le Ftm",46.119310,11.106119,2,0,0
73,Lamar "Ftm",46.125716,11.107709,2,0,1
74,Lamar "Ftm",46.125961,11.107589,2,0,1
75,Lamar "Sottostazione Enel",46.129242,11.109760,2,1,1
76,Largo Sauro,46.074849,11.124972,0,0,1
77,Lavis Nazionale,46.138664,11.108985,2,1,0
78,Lavis Piazza Mercato,46.137921,11.114454,1,0,0
79,Lavis "Municipio",46.139322,11.111955,2,1,1
80,Lavis Rosmini Segantini,46.142197,11.108504,1,0,0
81,Lavis Cembra,46.143164,11.106398,1,1,0
85,Centochiavi Dalla Fior,46.094611,11.120672,2,1,1
86,Centochiavi Chiocchetti,46.093993,11.120696,2,0,1
87,Melta "Case Itea",46.102271,11.118106,1,1,0
88,Parco di Melta,46.097275,11.119763,0,0,1
89,Melta Centro,46.099064,11.119266,2,0,0
90,Melta Centro,46.100104,11.118726,1,1,1
91,Parco di Melta,46.097239,11.119897,0,1,0
92,Bettini "Madonna Bianca",46.042500,11.132905,2,1,0
93,Stella "S.Gaetano",46.036416,11.130363,2,0,0
94,Ss 12 "Casteller",46.025285,11.132748,2,0,0
95,Ss 12 "Casteller",46.025708,11.132788,2,0,1
96,Madonna Bianca "S.Gaetano",46.038012,11.130692,1,1,1
97,Stella Marighetto,46.034257,11.131506,1,0,0
98,Madonna Bianca "Man",46.040294,11.130338,2,0,1
99,Ss 12 "Le Caverne",46.030863,11.132674,2,1,1
100,Ss 12 "Le Caverne",46.030338,11.132908,1,1,1
101,Martignano Formigheta,46.089121,11.133087,1,1,0
102,Martignano Formigheta,46.089134,11.133212,1,1,0
103,Martignano "Chiesa",46.088733,11.130600,2,1,0
104,Sp 131 "Maso Pradiscola",46.083190,11.135733,2,0,1
105,Sp 131 "Maso Pradiscola",46.083255,11.135870,1,0,1
106,Martignano P.Zza Menghin,46.090241,11.131624,2,0,1
107,Martignano P.Zza Menghin,46.090276,11.131456,2,1,0
108,Martignano Piazza Canopi,46.089344,11.131027,1,0,1
109,Sp 131 "Res. Silvana",46.097726,11.126958,2,0,0
110,Sp 131 "Res. Silvana",46.097493,11.126921,2,1,1
111,Martignano Ai Bolleri,46.094491,11.130142,2,0,1
112,Martignano Ai Bolleri,46.094873,11.129318,2,1,0
113,Sopramonte "Maso Banal",46.068953,11.063561,2,0,1
115,Sp 131 Al Maso Specchio,46.104391,11.123564,2,1,0
116,Sp 131 Al Maso Specchio,46.104353,11.123417,2,0,0
117,Ravina "Maso Stella",46.032355,11.112675,2,1,0
118,Ravina "Maso Stella",46.032555,11.112927,2,1,0
119,Mattarello Piazza Perini,46.006904,11.128335,2,1,1
120,Mattarello Via Nazionale,46.012408,11.130561,1,0,0
121,Mattarello Via Nazionale,46.011659,11.130372,2,1,1
122,Mattarello Pomeranos,46.013561,11.131495,1,1,0
123,Mattarello "Ronchi",46.017244,11.132396,2,1,1
124,Mattarello "Ronchi",46.017363,11.132606,2,0,0
125,Mattarello S.Leonardo,46.006454,11.127624,2,0,1
127,Mattarello Catoni,46.009381,11.128971,1,1,1
128,Mattarello Rio Stolzano,46.003129,11.126821,2,0,0
129,Meano Bivio S.Lazzaro,46.128304,11.115278,2,0,1
130,Meano Bivio S.Lazzaro,46.127538,11.115261,2,1,1
131,Sp 76 "Piac",46.126690,11.114529,1,0,0
133,Sp 76 "Maregioli",46.130756,11.121746,2,0,0
134,Sp 76 "Maregioli",46.130894,11.121668,1,0,1
135,Meano "Campo Sportivo",46.128279,11.120263,1,1,0
136,Meano "Campo Sportivo",46.128311,11.119718,1,1,0
137,Meano "Cimitero",46.125737,11.118416,1,0,1
138,Meano "Cimitero",46.125484,11.118316,1,1,1
139,Sp 76 "Via Rossa",46.119858,11.111413,2,1,0
140,Sp 76 "Via Rossa",46.119703,11.111292,2,1,1
141,Meano Piazza Dell'assunta,46.122688,11.116842,2,0,1
142,Meano Portoni,46.123625,11.116852,2,1,1
143,Sp 76 Dos di Lamar,46.124940,11.113459,2,0,0
144,Sp 76 Dos di Lamar,46.124718,11.113015,1,0,0
145,Mesiano "Fac. Ingegneria",46.067139,11.139352,1,1,1
146,Mesiano "Fac. Ingegneria",46.067199,11.139494,1,1,0
147,Mesiano "Stazione Fs",46.064948,11.141686,1,0,0
148,Mesiano "Stazione Fs",46.065069,11.141722,1,0,0
149,Povo Valoni,46.065699,11.146415,1,1,1
150,Povo Valoni,46.065747,11.146323,1,0,1
151,Montevaccino,46.108341,11.142761,0,1,0
152,Montevaccino di Sotto,46.109440,11.139968,2,1,1
153,Montevaccino di Sotto,46.109509,11.140093,2,1,0
154,Sp 131 "Paganin",46.106289,11.137607,2,1,0
155,Sp 131 "Paganin",46.106524,11.137303,2,1,1
156,M.Vaccino "Maso Librar",46.110418,11.138431,2,0,0
157,M.Vaccino "Maso Librar",46.110776,11.138070,2,0,0
158,Ss 45 "Montevideo",46.080500,11.098330,2,1,0
159,Villazzano Valnigra,46.052093,11.146617,1,0,0
160,Villazzano Valnigra,46.052181,11.146483,1,1,0
161,Oltrecastello,46.072809,11.161953,0,0,0
162,F.Lli Fontana Gen. Cantore,46.076802,11.119111,1,1,0
163,Piazza Dante "Palazzo Pat",46.072304,11.120422,1,0,0
165,Piazza di Fiera,46.065222,11.123268,0,1,0
166,S.Francesco Porta Nuova,46.066776,11.126343,1,0,0
167,Piazza Vicenza,46.062137,11.132760,0,1,1
168,Piazza Vicenza,46.062293,11.132768,0,0,1
169,Piazzale A22,46.077292,11.111107,0,0,1
171,Brescia "Piedicastello",46.070871,11.113313,1,1,0
172,Brescia "Piedicastello",46.070494,11.111379,1,1,1
173,Tangenziale Ovest Pezcoller,46.047739,11.113561,2,1,1
174,Ponte Lodovico,46.069353,11.138954,0,0,0
175,Ponte Lodovico,46.069524,11.140197,0,0,0
176,Venezia "Port'aquila",46.069866,11.128218,2,0,1
177,Cervara "Port'aquila",46.070180,11.128080,2,0,0
178,Cervara "Port'aquila",46.070164,11.127887,1,0,1
179,Spré Pinara,46.067264,11.160933,1,0,1
180,Spré Pinara,46.067264,11.160804,1,1,0
181,Povo "Casa di Riposo",46.065663,11.159674,2,0,0
182,Povo "Casa di Riposo",46.065595,11.159526,1,0,0
183,Povo "Centro Civico",46.064163,11.152003,1,1,0
184,Povo "Centro Civico",46.063862,11.151908,2,0,1
185,Povo S.Agata,46.066292,11.156491,1,1,0
186,Povo Piazza Manci,46.065807,11.154613,1,0,1
187,Povo Piazza Manci,46.065956,11.154592,2,0,0
188,Povo "Fac. Scienze",46.063289,11.150001,1,1,1
189,Povo "Fac. Scienze",46.063316,11.150206,1,1,0
190,Povo "Polo Sociale",46.065442,11.157969,2,1,1
191,Povo "Polo Sociale",46.065632,11.157932,1,0,1
192,Ravina Masere,46.039165,11.111932,2,1,1
193,Ravina Masere,46.039202,11.112290,1,1,1
194,Ravina "Case Itea",46.037329,11.114040,1,1,0
195,Ravina "Case Itea",46.037940,11.114059,2,1,0
196,Ravina Chiesa,46.037726,11.107752,2,0,0
197,Ravina Piazza,46.037878,11.108506,1,0,1
198,Ravina Per Belvedere,46.041292,11.106156,2,0,1
199,Ravina Per Belvedere,46.041002,11.106234,1,1,0
200,Ravina Del Ponte,46.042890,11.111775,2,1,0
201,Ravina Del Ponte,46.041069,11.113113,2,0,1
202,Piazza Dante "Pal. Regione",46.071711,11.121386,1,0,0
203,Romagnano Nord,46.020174,11.110855,2,1,0
204,Romagnano Nord,46.019954,11.110894,2,1,1
205,Romagnano Fontanelle,46.015323,11.107085,2,1,1
206,Romagnano Fontanelle,46.014633,11.106833,2,1,1
207,Romagnano 7 Fontane,46.014690,11.105062,2,1,0
208,Romagnano Piazza Condini,46.017751,11.105815,1,1,1
209,Romagnano Sud,46.012858,11.105446,2,0,1
210,Romagnano Sud,46.012091,11.104949,2,1,0
211,Romagnano Rimoni,46.016783,11.108218,1,1,0
212,Romagnano Rimoni,46.016488,11.108266,1,0,1
213,Roncafort,46.101272,11.101580,0,0,0
214,Ss 12 "Zona Ind.Le Ftm",46.120242,11.105818,2,1,1
215,Povo Salé,46.062029,11.151719,1,0,1
216,Povo Salé,46.062016,11.150848,2,1,0
217,Verona "S.Bartolameo",46.050720,11.130386,1,1,0
218,Verona "S.Bartolameo",46.050944,11.130469,1,1,0
219,San Donà,46.071657,11.138305,1,0,0
220,San Donà "Chiesa",46.072153,11.138402,2,1,0
222,San Donà,46.070880,11.139529,2,1,0
223,Lamar Sponda Trentina,46.134589,11.111686,2,0,0
224,San Lazzaro Ponte Avisio,46.137886,11.118350,1,1,1
226,San Rocco Torricelle,46.038542,11.145518,2,0,1
227,San Rocco Piazza,46.036365,11.146155,1,1,1
228,Piazza Madonna Delle Laste,46.074104,11.135252,0,1,0
229,Sopramonte Piazza Oveno,46.071317,11.059204,2,0,0
230,Sopramonte Bivio Baselga,46.075572,11.058466,2,1,0
231,Sopramonte Bivio Baselga,46.075784,11.058717,2,0,1
232,Sopramonte "Valle",46.075837,11.056021,2,1,1
233,Sopramonte "Valle",46.075950,11.055785,2,1,1
234,Sopramonte "Novai",46.067706,11.061541,1,0,0
235,Sopramonte Piazza Oveno,46.071151,11.059517,2,1,0
236,Sopramonte "Bunaga",46.069103,11.056866,1,1,1
237,Sopramonte "Bunaga",46.069730,11.057694,1,0,1
238,Spini di Gardolo,46.121729,11.089886,0,1,1
239,Spini Linz,46.118514,11.096121,2,1,1
240,Spini Linz,46.118533,11.096514,2,1,1
241,Spini Monaco,46.118623,11.092762,2,1,1
242,Spini Monaco,46.118581,11.092612,2,0,1
243,Spré S.Lucia,46.069295,11.161409,2,1,1
244,Spré S.Lucia,46.069215,11.161148,2,1,0
245,Sp 85 "Soraval",46.083259,11.063951,1,1,0
246,Sp 85 "Soraval",46.083095,11.063874,2,0,0
247,Piazza Dante "Stazione Fs",46.071918,11.119565,1,0,1
248,Tavernaro Centro,46.081449,11.154816,2,0,0
249,Tavernaro Centro,46.081580,11.155094,1,0,1
250,Tavernaro "Salet",46.081815,11.157962,1,1,0
251,Tavernaro "Salet",46.082027,11.158503,1,1,0
252,Tavernaro "Villa Clementi",46.080906,11.157518,2,0,0
253,Tavernaro "Villa Clementi",46.081267,11.155966,2,1,1
255,Vela Alla Scala,46.078955,11.103560,1,0,0
256,Vela Alla Scala,46.078841,11.103469,1,1,0
257,Gardolo 4 Nov. Canova,46.098861,11.112921,1,0,0
258,Gardolo 4 Nov. "Piscina",46.104288,11.112959,1,1,1
259,Gardolo 4 Nov. Soprasasso,46.106561,11.112342,2,1,1
