id,type,name,address
TNMM84801R,middleschool,Ala Cesare Battisti,Via Don Anzelini 2 38061  Ala  TN
TNMM817026,middleschool,Albiano,Via Manzoni 10 38041  Albiano  TN
TNMM82101R,middleschool,Aldeno,Via della Croce 2 38060  Aldeno  TN
TNMM803017,middleschool,Altopiano Vigolana-Vigolo Vatt.,Via Giuseppe Garibaldi 4 38049  Altopiano della Vigolana  TN
TNMM82403A,middleschool,Andalo Cesare Battisti,Piazza S. Vito 1 38010  Andalo  TN
TNMM840016,middleschool,Arco NicolÃ² d',Loc. Prabi 38062  Arco  TN
TN1M00800V,middleschool,Gardascuola Padre Monti,Via XXIV Maggio 1 38062  Arco  TN
TNMM847011,middleschool,Avio Dante Alighieri,Viale Degasperi 69 38063  Avio  TN
TNMM816019,middleschool,Baselga di PinÃ¨ Don G. Tarter,Via 26 Maggio 6 38042  Baselga di PinÃ¨  TN
TNMM82803N,middleschool,Borgo d'Anaunia - Fondo,Via Garibaldi 24 38013  Borgo d'Anaunia  TN
TNMM812012,middleschool,Borgo Ora e Veglia,Via A. Spagolla 1 38051  Borgo Valsugana  TN
TNMM861017,middleschool,Brentonico Catoni,Via F.Calzolari 38060  Brentonico  TN
TNMM85001R,middleschool,Campitello di Fassa Soraruf,Via Marin 3 38031  Campitello di Fassa  TN
TNMM81001A,middleschool,Canal San Bovo,Loc. Lausen 14 38050  Canal San Bovo  TN
TNMM80102L,middleschool,Castel Ivano Strigno Brentari,Via Roma 14 38059  Castel Ivano  TN
TNMM80101G,middleschool,Castello Tesino,Via C.Battisti 2 38053  Castello Tesino  TN
TNMM809016,middleschool,Cavalese Giovanni Segantini,Piazza G.Verdi 6 38033  Cavalese  TN
TNMM84402E,middleschool,Cavedine Cristoforo Madruzzo,Via 25 Aprile 7 38073  Cavedine  TN
TNMM82201L,middleschool,Cembra Lisignago - Cembra,Via delle Negritelle 1 38034  Cembra Lisignago  TN
TNMM817015,middleschool,Civezzano Giulio Alessandrini,Via Murialdo 30 38045  Civezzano  TN
TNMM83101B,middleschool,Cles Vigilio Inama,Via Chini 31 38023  Cles  TN
TNMM83701A,middleschool,Comano Terme-Ponte Archeprati,Via San Giovanni 14 38077  Comano Terme  TN
TNMM82901B,middleschool,Denno Vittorio Vielmetti,Via Colle Verde 3 38010  Denno  TN
TNMM84403G,middleschool,Dro Nuova Europa,Via Sant'Antonio 3 38074  Dro  TN
TNMM804013,middleschool,Folgaria Pia Rella,Piazza G.Marconi 85 38064  Folgaria  TN
TNMM82203P,middleschool,Giovo - Verla,Via dell'Oratorio 15 38030  Giovo  TN
TNMM812023,middleschool,Grigno Fante Silvano,Viale Trento 38055  Grigno  TN
TNMM804024,middleschool,Lavarone Giovanni Prati,Piazza Italia 33 38046  Lavarone  TN
TNMM825014,middleschool,Lavis Aldo Stainer,Via Carlo Sette 13/A 38015  Lavis  TN
TNMM80601P,middleschool,Ledro - Bezzecca Garibaldi,Via Giacomo Cis 31 38067  Ledro  TN
TNMM818011,middleschool,Levico Terme G.B. De Gasparis,Via della Pace 5 38056  Levico Terme  TN
TNMM833013,middleschool,MalÃ¨ Giovanni Ciccolini,Via Taddei De Mauris 4 38027  MalÃ©  TN
TN1M001004,middleschool,Istituto Salesiano Santa Croce,Via Molaren 29 38050  Mezzano  TN
