id,type,name,address
1,university,Dipartimento di Biologia Cellulare; Computazionale e Integrata - CIBIO,Via Sommarive 9 Povo 38123 TN
2,university,Dipartimento di Economia e Management,Via Vigilio Inama 5 Trento 38122 TN
3,university,Dipartimento di Fisica,Via Sommarive 14 Povo 38123 TN
4,university,Dipartimento di Ingegneria Civile Ambientale e Meccanica,Via Mesiano 77 38123 Trento
5,university,Dipartimento di Ingegneria e Scienza dell'Informazione,Via Sommarive 9 Povo 38123 TN
6,university,Dipartimento di Ingegneria Industriale,Via Sommarive 9 Povo 38123 TN
7,university,Dipartimento di Lettere e Filosofia,Via Tommaso Gar 14 Trento 38122 TN
8,university,Dipartimento di Matematica,Via Sommarive 14 38123 Povo TN
9,university,Dipartimento di Psicologia e Scienze Cognitive,Corso Bettini 84 Rovereto 38068 TN
10,university,Dipartimento di Sociologia e Ricerca Sociale,Via Giuseppe Verdi 26 38122 Trento
11,university,Facoltà di Giurisprudenza,Via Giuseppe Verdi 53 38122 Trento
12,university,Centro Agricoltura; Alimenti; Ambiente - C3A,Via Edmund Mach 1 38010 San Michele All'adige TN
13,university,Centro Interdipartimentale di Scienze Mediche - CISMED,via S. Maria Maddalena 1 38122 Trento
14,university,Centro Interdipartimentale Mente/Cervello - CIMEC,Corso Bettini 31 Rovereto 38068 TN
15,university,Scuola di Studi Internazionali,Via Tommaso Gar 14 Trento 38122 TN
