service_id,date,exception_type
001-18-0850042024-M#FR,20240408,2
001-18-0850042024-M#FR,20240415,2
001-18-0850042024-M#FR,20240422,2
001-18-0850102024-M#FR,20241014,2
001-18-0850102024-M#FR,20241021,2
001-18-0950012024-M#FR,20240120,2
001-18-0950032024-M#FR,20240302,2
001-18-0950032024-M#FR,20240303,2
001-18-0950032024-M#FR,20240304,2
001-18-0950032024-M#FR,20240310,2
001-18-0950032024-M#FR,20240311,2
001-18-0950032024-M#FR,20240317,2
001-18-0950032024-M#FR,20240318,2
001-18-0950032024-M#FR,20240324,2
001-18-0950102024-M#FR,20241007,2
001-18-0950102024-M#FR,20241010,2
001-18-0950102024-M#FR,20241014,2
001-18-0950102024-M#FR,20241017,2
001-18-0950102024-M#FR,20241021,2
001-18-0950102024-M#FR,20241024,2
001-18-0950102024-M#FR,20241027,2
001-18-0950122024-M#FR,20241209,2
001-18-1050012024-M#FR,20240108,2
001-18-1050012024-M#FR,20240115,2
001-18-1050012024-M#FR,20240122,2
001-18-1050122023-M#FR,20231205,2
001-18-1050122023-M#FR,20231212,2
001-18-1050122023-M#FR,20231219,2
001-18-1050122023-M#FR,20231224,2
001-2-0620042024-M#FR,20240408,2
001-2-0620042024-M#FR,20240415,2
001-2-0620042024-M#FR,20240422,2
001-2-0620102024-M#FR,20241014,2
001-2-0620102024-M#FR,20241021,2
001-2-0650122023-M#FR,20231203,2
001-2-0650122023-M#FR,20231210,2
001-2-0650122023-M#FR,20231217,2
001-2-0720032024-M#FR,20240303,2
001-2-0720032024-M#FR,20240304,2
001-2-0720032024-M#FR,20240310,2
001-2-0720032024-M#FR,20240311,2
001-2-0720032024-M#FR,20240317,2
001-2-0720032024-M#FR,20240318,2
001-2-0720032024-M#FR,20240324,2
001-2-0720102024-M#FR,20241007,2
001-2-0720102024-M#FR,20241010,2
001-2-0720102024-M#FR,20241014,2
001-2-0720102024-M#FR,20241017,2
001-2-0720102024-M#FR,20241021,2
001-2-0720102024-M#FR,20241024,2
001-2-0720102024-M#FR,20241027,2
001-2-0720122024-M#FR,20241209,2
001-2-0820012024-M#FR,20240108,2
001-2-0820012024-M#FR,20240115,2
001-2-0820012024-M#FR,20240122,2
001-2-0820122023-M#FR,20231205,2
001-2-0820122023-M#FR,20231212,2
001-2-0820122023-M#FR,20231219,2
001-2-0820122023-M#FR,20231224,2
001-26-1230042024-M#FR,20240411,2
001-26-1230042024-M#FR,20240418,2
001-26-1230042024-M#FR,20240425,2
001-26-1230102024-M#FR,20241017,2
001-26-1230102024-M#FR,20241024,2
001-26-1315042024-M#FR,20240404,2
001-26-1315102024-M#FR,20241003,2
001-26-1315102024-M#FR,20241010,2
001-26-1330012024-M#FR,20240109,2
001-26-1330012024-M#FR,20240116,2
001-26-1330012024-M#FR,20240123,2
001-26-1330012025-M#FR,20250109,2
001-26-1330032024-M#FR,20240303,2
001-26-1330032024-M#FR,20240307,2
001-26-1330032024-M#FR,20240310,2
001-26-1330032024-M#FR,20240314,2
001-26-1330032024-M#FR,20240317,2
001-26-1330032024-M#FR,20240321,2
001-26-1330032024-M#FR,20240324,2
001-26-1330102024-M#FR,20241007,2
001-26-1330102024-M#FR,20241010,2
001-26-1330102024-M#FR,20241014,2
001-26-1330102024-M#FR,20241017,2
001-26-1330102024-M#FR,20241021,2
001-26-1330102024-M#FR,20241024,2
001-26-1330102024-M#FR,20241027,2
001-26-1330122023-M#FR,20231203,2
001-26-1330122023-M#FR,20231206,2
001-26-1330122023-M#FR,20231210,2
001-26-1330122023-M#FR,20231213,2
001-26-1330122023-M#FR,20231217,2
001-26-1330122023-M#FR,20231220,2
001-26-1330122023-M#FR,20231225,2
001-26-1330122024-M#FR,20241205,2
001-26-1330122024-M#FR,20241212,2
001-26-1415012025-M#FR,20250102,2
001-26-1415122023-M#FR,20231211,2
001-26-1415122023-M#FR,20231218,2
001-26-1415122023-M#FR,20231226,2
001-26-1415122023-M#FR,20231227,2
001-26-1415122024-M#FR,20241219,2
001-26-1430012024-M#FR,20240108,2
001-26-1430012024-M#FR,20240115,2
001-26-1430012024-M#FR,20240122,2
001-26-1430122023-M#FR,20231205,2
001-26-1430122023-M#FR,20231212,2
001-26-1430122023-M#FR,20231219,2
001-26-1430122023-M#FR,20231224,2
001-29-1200042024-FR#M,20240408,2
001-29-1200042024-FR#M,20240415,2
001-29-1200042024-FR#M,20240422,2
001-29-1200102024-FR#M,20241014,2
001-29-1200102024-FR#M,20241021,2
001-29-1230122023-FR#M,20231203,2
001-29-1230122023-FR#M,20231210,2
001-29-1230122023-FR#M,20231217,2
001-29-1300032024-FR#M,20240303,2
001-29-1300032024-FR#M,20240304,2
001-29-1300032024-FR#M,20240310,2
001-29-1300032024-FR#M,20240311,2
001-29-1300032024-FR#M,20240317,2
001-29-1300032024-FR#M,20240318,2
001-29-1300032024-FR#M,20240324,2
001-29-1300102024-FR#M,20241007,2
001-29-1300102024-FR#M,20241010,2
001-29-1300102024-FR#M,20241014,2
001-29-1300102024-FR#M,20241017,2
001-29-1300102024-FR#M,20241021,2
001-29-1300102024-FR#M,20241024,2
001-29-1300102024-FR#M,20241027,2
001-29-1300122024-FR#M,20241209,2
001-29-1325042024-FR#M,20240429,2
001-29-1325102024-FR#M,20241007,2
001-29-1400012024-FR#M,20240108,2
001-29-1400012024-FR#M,20240115,2
001-29-1400012024-FR#M,20240122,2
001-29-1400122023-FR#M,20231205,2
001-29-1400122023-FR#M,20231212,2
001-29-1400122023-FR#M,20231219,2
001-29-1400122023-FR#M,20231224,2
001-29-1425032024-FR#M,20240325,2
001-29-1425122023-FR#M,20231226,2
001-29-1425122024-FR#M,20241216,2
001-29-1425122024-FR#M,20241223,2
001-3-0555042024-FR#M,20240411,2
001-3-0555042024-FR#M,20240418,2
001-3-0555042024-FR#M,20240425,2
001-3-0555102024-FR#M,20241017,2
001-3-0555102024-FR#M,20241024,2
001-3-0655012024-FR#M,20240109,2
001-3-0655012024-FR#M,20240116,2
001-3-0655012024-FR#M,20240123,2
001-3-0655012025-FR#M,20250109,2
001-3-0655032024-FR#M,20240303,2
001-3-0655032024-FR#M,20240307,2
001-3-0655032024-FR#M,20240310,2
001-3-0655032024-FR#M,20240314,2
001-3-0655032024-FR#M,20240317,2
001-3-0655032024-FR#M,20240321,2
001-3-0655032024-FR#M,20240324,2
001-3-0655042024-FR#M,20240404,2
001-3-0655102024-FR#M,20241003,2
001-3-0655102024-FR#M,20241007,2
001-3-0655102024-FR#M,20241010,2
001-3-0655102024-FR#M,20241014,2
001-3-0655102024-FR#M,20241021,2
