trip_id,arrival_time,departure_time,stop_id,stop_sequence
16151,,05:56:00,2264,1
16151,06:10:00,06:11:00,173,2
16151,06:25:00,,119,3
16652,,05:52:00,2264,1
16652,06:00:00,06:01:00,1031,2
16652,06:06:00,06:07:00,845,3
16652,06:12:00,06:13:00,2602,4
16652,06:16:00,06:17:00,1916,5
16652,06:20:00,06:21:00,1346,6
16652,06:25:00,06:26:00,621,7
16652,06:29:00,06:30:00,1832,8
16652,06:33:00,06:34:00,1058,9
16652,06:42:00,,1900,10
8505,,05:12:00,1900,1
8505,05:41:00,05:43:00,2264,2
8505,05:55:00,05:57:00,173,3
8505,06:40:00,06:52:00,2173,4
8505,07:44:00,07:47:00,1918,5
8505,08:24:00,08:33:00,1290,6
8505,10:01:00,10:04:00,200,7
8505,10:10:00,,201,8
3461,,05:00:00,1900,1
3461,05:11:00,05:12:00,621,2
3461,05:24:00,05:25:00,845,3
3461,05:36:00,05:37:00,2264,4
3461,05:50:00,05:51:00,173,5
3461,06:00:00,06:01:00,119,6
3461,06:24:00,06:25:00,1363,7
3461,06:46:00,07:03:00,2173,8
3461,07:15:00,07:16:00,1090,9
3461,07:24:00,07:25:00,657,10
3461,07:32:00,07:33:00,593,11
3461,07:39:00,07:40:00,424,12
3461,07:46:00,07:47:00,810,13
3461,07:52:00,07:53:00,2667,14
3461,08:09:00,08:10:00,1402,15
3461,08:16:00,08:17:00,2575,16
3461,08:22:00,08:23:00,595,17
3461,08:37:00,,1912,18
16107,,05:35:00,2264,1
16107,05:38:30,05:39:00,2676,2
16107,05:40:30,05:41:00,2591,3
16107,05:45:00,05:46:00,2093,4
16107,05:50:30,05:51:00,340,5
16107,06:01:00,06:02:00,527,6
16107,06:05:30,06:06:00,2674,7
16107,06:10:30,06:11:00,1804,8
16107,06:16:00,06:17:00,1798,9
16107,06:21:00,06:22:00,1009,10
16107,06:32:00,06:33:00,193,11
16107,06:37:00,06:38:00,1880,12
16107,06:41:00,,1879,13
16164,,05:28:00,2264,1
16164,05:37:00,05:38:00,1031,2
16164,05:43:00,05:44:00,845,3
16164,05:49:00,05:50:00,2602,4
16164,05:53:00,05:54:00,1916,5
16164,05:57:00,05:58:00,1346,6
16164,06:02:00,06:03:00,621,7
16164,06:06:00,06:07:00,1832,8
16164,06:10:00,06:11:00,1058,9
16164,06:18:00,06:32:00,1900,10
16164,06:47:00,06:48:00,392,11
16164,06:54:00,06:55:00,1512,12
16164,07:02:00,07:03:00,1842,13
16164,07:14:00,07:15:00,1256,14
16164,07:26:30,07:27:00,1773,15
16164,07:32:00,07:33:00,2088,16
16164,07:38:30,07:39:00,1464,17
16164,07:52:00,,1847,18
16105,,05:05:00,2264,1
16105,05:08:30,05:09:00,2676,2
16105,05:10:30,05:11:00,2591,3
16105,05:15:00,05:16:00,2093,4
16105,05:20:30,05:21:00,340,5
16105,05:31:00,05:32:00,527,6
16105,05:35:30,05:36:00,2674,7
16105,05:40:30,05:41:00,1804,8
16105,05:46:00,05:47:00,1798,9
16105,05:51:00,05:52:00,1009,10
16105,06:02:00,06:03:00,193,11
16105,06:07:00,06:08:00,1880,12
16105,06:10:00,06:11:00,1879,13
16105,06:15:00,06:16:00,2369,14
16105,06:24:00,06:25:00,1131,15
16105,06:30:30,06:31:00,2323,16
16105,06:34:00,06:35:00,316,17
16105,06:42:00,06:47:00,1499,18
16105,06:51:30,06:52:00,2642,19
16105,06:57:00,06:58:00,1700,20
16105,07:01:30,07:02:00,2636,21
16105,07:04:30,07:05:00,2427,22
16105,07:12:00,,1981,23
16653,,06:10:00,2264,1
16653,06:24:00,06:25:00,173,2
16653,06:29:00,06:30:00,717,3
16653,06:37:00,06:38:00,119,4
16653,06:42:00,06:43:00,16,5
16653,06:48:00,06:49:00,1894,6
16653,06:54:00,06:55:00,525,7
16653,07:01:30,07:02:00,346,8
16653,07:10:00,07:11:00,1363,9
16653,07:28:00,,2173,10
16109,,06:05:00,2264,1
16109,06:08:30,06:09:00,2676,2
16109,06:10:30,06:11:00,2591,3
16109,06:15:00,06:16:00,2093,4
16109,06:20:30,06:21:00,340,5
16109,06:31:00,06:32:00,527,6
16109,06:35:30,06:36:00,2674,7
16109,06:40:30,06:41:00,1804,8
16109,06:46:00,06:47:00,1798,9
16109,06:51:00,06:52:00,1009,10
16109,07:01:00,07:05:00,193,11
16109,07:09:00,07:10:00,1880,12
16109,07:12:00,07:13:00,1879,13
16109,07:17:00,07:18:00,2369,14
16109,07:28:00,07:29:00,1131,15
16109,07:34:30,07:35:00,2323,16
16109,07:38:00,07:39:00,316,17
16109,07:46:00,07:51:00,1499,18
16109,07:55:30,07:56:00,2642,19
16109,08:01:00,08:02:00,1700,20
16109,08:05:30,08:06:00,2636,21
16109,08:08:30,08:09:00,2427,22
16109,08:16:00,,1981,23
16923,,09:35:00,2264,1
16923,09:38:30,09:39:00,2676,2
16923,09:40:30,09:41:00,2591,3
16923,09:45:00,09:46:00,2093,4
16923,09:50:30,09:51:00,340,5
16923,10:01:00,10:02:00,527,6
16923,10:05:30,10:06:00,2674,7
16923,10:10:30,10:11:00,1804,8
16923,10:16:00,10:17:00,1798,9
16923,10:21:00,10:22:00,1009,10
16923,10:32:00,10:33:00,193,11
16923,10:37:00,10:38:00,1880,12
16923,10:41:00,,1879,13
16674,,08:06:00,2173,1
16674,08:21:00,08:22:00,1363,2
16674,08:27:30,08:28:00,346,3
16674,08:33:00,08:34:00,525,4
16674,08:38:00,08:39:00,1894,5
16674,08:43:00,08:44:00,16,6
16674,08:49:00,08:50:00,119,7
16674,08:55:00,08:56:00,1919,8
16674,09:00:00,09:01:00,717,9
16674,09:06:00,09:07:00,173,10
16674,09:30:00,09:32:00,2264,11
16674,09:39:00,09:40:00,1031,12
16674,09:45:00,09:46:00,845,13
16674,09:51:00,09:52:00,2602,14
16674,09:56:00,09:57:00,1916,15
16674,10:00:00,10:01:00,1346,16
16674,10:05:00,10:06:00,621,17
16674,10:10:00,10:11:00,1832,18
16674,10:14:00,10:15:00,1058,19
16674,10:23:00,,1900,20
16108,,07:25:00,1981,1
16108,07:29:30,07:30:00,2427,2
16108,07:33:30,07:34:00,2636,3
16108,07:38:00,07:39:00,1700,4
16108,07:44:30,07:45:00,2642,5
16108,07:49:00,07:50:00,1499,6
16108,07:57:00,07:58:00,316,7
16108,08:01:30,08:02:00,2323,8
16108,08:08:00,08:09:00,1131,9
16108,08:18:00,08:19:00,2369,10
16108,08:24:00,08:25:00,1879,11
16108,08:27:00,08:28:00,1880,12
16108,08:32:00,08:33:00,193,13
16108,08:41:00,08:42:00,1009,14
16108,08:46:00,08:47:00,1798,15
16108,08:50:30,08:51:00,1804,16
16108,08:55:30,08:56:00,2674,17
16108,09:01:00,09:02:00,527,18
16108,09:11:00,09:12:00,340,19
16108,09:15:00,09:16:00,2093,20
16108,09:19:30,09:20:00,2591,21
16108,09:21:30,09:22:00,2676,22
16108,09:29:00,,2264,23
16926,,07:25:00,1981,1
16926,07:29:30,07:30:00,2427,2
16926,07:33:30,07:34:00,2636,3
16926,07:38:00,07:39:00,1700,4
16926,07:44:30,07:45:00,2642,5
16926,07:49:00,07:50:00,1499,6
16926,07:57:00,07:58:00,316,7
16926,08:01:30,08:02:00,2323,8
16926,08:08:00,08:09:00,1131,9
