trip_id,service_id,wheelchair_accessible,route_id,direction,trip_headsign
16105,543210001,0,valsugana,1,valsugana
16164,543210001,0,tn-bz,1,tn-bz
16107,543210001,0,valsugana,1,valsugana
16652,543210001,0,tn-bz,1,tn-bz
16151,543210001,0,tn-ala,1,tn-ala
16109,543210001,0,valsugana,1,valsugana
16654,543210001,0,tn-bz,1,tn-bz
16145,543210001,0,tn-ala,1,tn-ala
16658,543210001,0,tn-bz,1,tn-bz
16656,543210001,0,vr-bz,1,vr-bz
16691,543210001,0,vr-bz,0,vr-bz
16106,543210001,0,valsugana,0,valsugana
16662,543210001,0,tn-bz,1,tn-bz
16918,543210001,0,valsugana,0,valsugana
16664,543210001,0,vr-bz,1,vr-bz
16659,543210001,0,vr-bz,0,vr-bz
16144,543210001,0,tn-ala,0,tn-ala
16128,543210001,0,valsugana,0,valsugana
16616,543210001,0,vr-bz,1,vr-bz
16661,543210001,0,rov-bz,1,rov-bz
16915,543210001,0,valsugana,1,valsugana
3463,543210001,0,vr-bz,0,vr-bz
16928,543210001,0,valsugana,0,valsugana
16920,543210001,0,valsugana,0,valsugana
16922,543210001,0,valsugana,0,valsugana
16921,543210001,0,valsugana,1,valsugana
16919,543210001,0,valsugana,1,valsugana
16604,543210001,0,vr-bz,1,vr-bz
16140,543210001,0,tn-bz,1,tn-bz
16663,543210001,0,vr-bz,0,vr-bz
16924,543210001,0,valsugana,0,valsugana
16665,543210001,0,tn-bz,0,tn-bz
3462,543210001,0,vr-bz,1,vr-bz
16672,543210001,0,rov-bz,0,rov-bz
16111,543210001,0,valsugana,1,valsugana
16033,543210001,0,vr-bz,0,vr-bz
16926,543210001,0,valsugana,0,valsugana
16108,543210001,0,valsugana,0,valsugana
16674,543210001,0,vr-bz,1,vr-bz
16923,543210001,0,valsugana,1,valsugana
16667,543210001,0,vr-bz,0,vr-bz
16614,543210001,0,vr-bz,1,vr-bz
16638,543210001,0,vr-bz,1,vr-bz
16669,543210001,0,rov-bz,1,rov-bz
16925,543210001,0,valsugana,1,valsugana
16676,543210001,0,tn-bz,1,tn-bz
16110,543210001,0,valsugana,0,valsugana
16678,543210001,0,vr-bz,1,vr-bz
16671,543210001,0,vr-bz,0,vr-bz
16646,543210001,0,vr-bz,1,vr-bz
16930,543210001,0,valsugana,0,valsugana
16916,543210001,0,valsugana,0,valsugana
16927,543210001,0,valsugana,1,valsugana
16115,543210001,0,valsugana,1,valsugana
16039,543210001,0,vr-bz,0,vr-bz
16112,543210001,0,valsugana,0,valsugana
16692,543210001,0,vr-bz,1,vr-bz
23021,543210001,0,tn-bz,0,tn-bz
16932,543210001,0,valsugana,0,valsugana
86,543210001,0,vr-bz,1,vr-bz
ftm_302,123450001,1,ftm,0,ftm
ftm_301,123450001,1,ftm,1,ftm
ftm_4,123450001,1,ftm,0,ftm
ftm_1,123450001,1,ftm,1,ftm
ftm_6,123450001,1,ftm,0,ftm
ftm_303,123450001,1,ftm,1,ftm
ftm_51,123450002,1,ftm,1,ftm
ftm_3,123450001,1,ftm,1,ftm
ftm_305,123450001,1,ftm,1,ftm
ftm_8,123450001,1,ftm,0,ftm
ftm_52,123450002,1,ftm,0,ftm
ftm_5,123450001,1,ftm,1,ftm
ftm_306,123450001,1,ftm,0,ftm
ftm_7,123450001,1,ftm,1,ftm
ftm_10,123450001,1,ftm,0,ftm
ftm_9,123450001,1,ftm,1,ftm
ftm_53,123450002,1,ftm,1,ftm
ftm_12,123450001,1,ftm,0,ftm
ftm_54,123450002,1,ftm,0,ftm
ftm_14,123450001,1,ftm,0,ftm
ftm_11,123450001,1,ftm,1,ftm
ftm_308,123450001,1,ftm,0,ftm
ftm_16,123450001,1,ftm,0,ftm
ftm_55,123450002,1,ftm,1,ftm
ftm_15,123450001,1,ftm,1,ftm
ftm_56,123450002,1,ftm,0,ftm
ftm_18,123450001,1,ftm,0,ftm
ftm_319,123450001,1,ftm,1,ftm
ftm_44,123450001,1,ftm,0,ftm
ftm_17,123450001,1,ftm,1,ftm
ftm_20,123450001,1,ftm,0,ftm
ftm_309,123450001,1,ftm,1,ftm
ftm_19,123450001,1,ftm,1,ftm
ftm_59,123450002,1,ftm,1,ftm
ftm_24,123450001,1,ftm,0,ftm
ftm_60,123450002,1,ftm,0,ftm
ftm_21,123450001,1,ftm,1,ftm
ftm_26,123450001,1,ftm,0,ftm
ftm_62,123450002,1,ftm,0,ftm
ftm_23,123450001,1,ftm,1,ftm
ftm_25,123450001,1,ftm,1,ftm
ftm_42,123450001,1,ftm,0,ftm
ftm_61,123450002,1,ftm,1,ftm
ftm_27,123450001,1,ftm,1,ftm
ftm_28,123450001,1,ftm,0,ftm
ftm_64,123450002,1,ftm,0,ftm
ftm_30,123450001,1,ftm,0,ftm
ftm_32,123450001,1,ftm,0,ftm
ftm_29,123450001,1,ftm,1,ftm
ftm_66,123450001,1,ftm,0,ftm
ftm_34,123450001,1,ftm,0,ftm
ftm_65,123450002,1,ftm,1,ftm
ftm_31,123450001,1,ftm,1,ftm
ftm_46,123450001,1,ftm,0,ftm
ftm_68,123450001,1,ftm,0,ftm
ftm_67,123450001,1,ftm,1,ftm
ftm_33,123450001,1,ftm,1,ftm
ftm_314,123450001,1,ftm,0,ftm
ftm_35,123450001,1,ftm,1,ftm
ftm_69,123450001,1,ftm,1,ftm
ftm_240,123450001,1,ftm,1,ftm
