route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color
ITRP-RO200_6539_20221211_20231209,ITRP-AG000174,006539,ACQUI TERME - ALESSANDRIA,,2,,804040
ITRP-RO200_6550_20221211_20231209,ITRP-AG000174,006550,ACQUI TERME - ASTI,,2,,804040
ITRP-RO200_6540_20221211_20231209,ITRP-AG000174,006540,ACQUI TERME - SAVONA,,2,,804040
ITRP-RO200_6592_20221211_20231209,ITRP-AG000174,006592,ALBA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6589_20221211_20231209,ITRP-AG000174,006589,ALBA - TORINO STURA,,2,,804040
ITRP-RO200_6443_20221211_20231209,ITRP-AG000174,006443,ALBENGA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6444_20221211_20231209,ITRP-AG000174,006444,ALBENGA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6542_20221211_20231209,ITRP-AG000174,006542,ALESSANDRIA - ACQUI TERME,,2,,804040
ITRP-RO200_6565_20221211_20231209,ITRP-AG000174,006565,ALESSANDRIA - ARQUATA SCRIVIA,,2,,804040
ITRP-RO200_6499_20221211_20231209,ITRP-AG000174,006499,ALESSANDRIA - ASTI,,2,,804040
ITRP-RO200_6512_20221211_20231209,ITRP-AG000174,006512,ALESSANDRIA - CHIVASSO,,2,,804040
ITRP-RO200_6567_20221211_20231209,ITRP-AG000174,006567,ALESSANDRIA - GENOVA BRIGNOLE,,2,,804040
ITRP-RO200_6526_20221211_20231209,ITRP-AG000174,006526,ALESSANDRIA - NOVARA,,2,,804040
ITRP-RO200_6545_20221211_20231209,ITRP-AG000174,006545,ALESSANDRIA - SAVONA,,2,,804040
ITRP-RO200_6544_20221211_20231209,ITRP-AG000174,006544,ALESSANDRIA - SAVONA,,2,,804040
ITRP-RO200_6390_20221211_20231209,ITRP-AG000174,006390,ALESSANDRIA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6393_20221211_20231209,ITRP-AG000174,006393,ALESSANDRIA - TORINO STURA,,2,,804040
ITRP-RO200_6500_20221211_20231209,ITRP-AG000174,006500,ALESSANDRIA - VOGHERA,,2,,804040
ITRP-RO200_6496_20221211_20231209,ITRP-AG000174,006496,ARONA - DOMODOSSOLA,,2,,804040
ITRP-RO200_6548_20221211_20231209,ITRP-AG000174,006548,ARONA - NOVARA,,2,,804040
ITRP-RO200_6566_20221211_20231209,ITRP-AG000174,006566,ARQUATA SCRIVIA - ALESSANDRIA,,2,,804040
ITRP-RO200_6549_20221211_20231209,ITRP-AG000174,006549,ASTI - ACQUI TERME,,2,,804040
ITRP-RO200_6504_20221211_20231209,ITRP-AG000174,006504,ASTI - ALESSANDRIA,,2,,804040
ITRP-RO200_6401_20221211_20231209,ITRP-AG000174,006401,ASTI - MI.P.GARIBALDI,,2,,804040
ITRP-RO200_6400_20221211_20231209,ITRP-AG000174,006400,ASTI - MILANO CENTRALE,,2,,804040
ITRP-RO200_6606_20221211_20231209,ITRP-AG000174,006606,SFM6: ASTI - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6594_20221211_20231209,ITRP-AG000174,006594,SFM6: ASTI - TORINO STURA,,2,,804040
ITRP-RO200_6503_20221211_20231209,ITRP-AG000174,006503,ASTI - VOGHERA,,2,,804040
ITRP-RO200_6600_20221211_20231209,ITRP-AG000174,006600,SFM3: BARDONECCHIA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6552_20221211_20231209,ITRP-AG000174,006552,BIELLA S.PAOLO - NOVARA,,2,,804040
ITRP-RO200_6555_20221211_20231209,ITRP-AG000174,006555,BIELLA S.PAOLO - SANTHIA`,,2,,804040
ITRP-RO200_6553_20221211_20231209,ITRP-AG000174,006553,BIELLA S.PAOLO - TO.LINGOTTO,,2,,804040
ITRP-RO200_6538_20221211_20231209,ITRP-AG000174,006538,BORGOMANERO - NOVARA,,2,,804040
ITRP-RO200_6591_20221211_20231209,ITRP-AG000174,006591,SFM4: BRA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6608_20221211_20231209,ITRP-AG000174,006608,SFM4: BRA - TORINO STURA,,2,,804040
ITRP-RO200_6585_20221211_20231209,ITRP-AG000174,006585,SFM3: BUSSOLENO - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6514_20221211_20231209,ITRP-AG000174,006514,CASALE MONFERR. - CHIVASSO,,2,,804040
ITRP-RO200_6507_20221211_20231209,ITRP-AG000174,006507,CEVA - FOSSANO,,2,,804040
ITRP-RO200_6429_20221211_20231209,ITRP-AG000174,006429,CEVA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6572_20221211_20231209,ITRP-AG000174,006572,SFM1: CHIERI - RIVAROLO CANAVES,,2,,804040
ITRP-RO200_6575_20221211_20231209,ITRP-AG000174,006575,SFM1: CHIERI - TO.LINGOTTO,,2,,804040
ITRP-RO200_6573_20221211_20231209,ITRP-AG000174,006573,SFM1: CHIERI - TORINO STURA,,2,,804040
ITRP-RO200_6515_20221211_20231209,ITRP-AG000174,006515,CHIVASSO - ALESSANDRIA,,2,,804040
ITRP-RO200_6517_20221211_20231209,ITRP-AG000174,006517,CHIVASSO - CASALE MONFERR.,,2,,804040
ITRP-RO200_6533_20221211_20231209,ITRP-AG000174,006533,CHIVASSO - IVREA,,2,,804040
ITRP-RO200_6531_20221211_20231209,ITRP-AG000174,006531,CHIVASSO - NOVARA,,2,,804040
ITRP-RO200_6582_20221211_20231209,ITRP-AG000174,006582,SFM2: CHIVASSO - PINEROLO,,2,,804040
ITRP-RO200_6583_20221211_20231209,ITRP-AG000174,006583,SFM2: CHIVASSO - TO.LINGOTTO,,2,,804040
ITRP-RO200_6513_20221211_20231209,ITRP-AG000174,006513,CHIVASSO - VALENZA,,2,,804040
ITRP-RO200_6518_20221211_20231209,ITRP-AG000174,006518,CUNEO - FOSSANO,,2,,804040
ITRP-RO200_6519_20221211_20231209,ITRP-AG000174,006519,CUNEO - LIMONE,,2,,804040
ITRP-RO200_6446_20221211_20231209,ITRP-AG000174,006446,CUNEO - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6571_20221211_20231209,ITRP-AG000174,006571,CUNEO - VENTIMIGLIA,,2,,804040
ITRP-RO200_6708_20221211_20231209,ITRP-AG000174,006708,DOMODOSSOLA - MI.P.GARIBALDI,,2,,804040
ITRP-RO200_6710_20221211_20231209,ITRP-AG000174,006710,DOMODOSSOLA - MI.P.GARIBALDI,,2,,804040
ITRP-RO200_6495_20221211_20231209,ITRP-AG000174,006495,DOMODOSSOLA - MI.P.GARIBALDI,,2,,804040
ITRP-RO200_6498_20221211_20231209,ITRP-AG000174,006498,DOMODOSSOLA - MI.P.GARIBALDI,,2,,804040
ITRP-RO200_6536_20221211_20231209,ITRP-AG000174,006536,DOMODOSSOLA - NOVARA,,2,,804040
ITRP-RO200_6511_20221211_20231209,ITRP-AG000174,006511,FOSSANO - CEVA,,2,,804040
ITRP-RO200_6523_20221211_20231209,ITRP-AG000174,006523,FOSSANO - CUNEO,,2,,804040
ITRP-RO200_6521_20221211_20231209,ITRP-AG000174,006521,FOSSANO - LIMONE,,2,,804040
ITRP-RO200_6509_20221211_20231209,ITRP-AG000174,006509,FOSSANO - S.GIUSEPPE DI C.,,2,,804040
ITRP-RO200_6506_20221211_20231209,ITRP-AG000174,006506,FOSSANO - SAVONA,,2,,804040
ITRP-RO200_6596_20221211_20231209,ITRP-AG000174,006596,SFM7: FOSSANO - TORINO STURA,,2,,804040
ITRP-RO200_6568_20221211_20231209,ITRP-AG000174,006568,GENOVA BRIGNOLE - ALESSANDRIA,,2,,804040
ITRP-RO200_6395_20221211_20231209,ITRP-AG000174,006395,GENOVA BRIGNOLE - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6396_20221211_20231209,ITRP-AG000174,006396,GENOVA P.PRINC. - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6445_20221211_20231209,ITRP-AG000174,006445,IMPERIA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6529_20221211_20231209,ITRP-AG000174,006529,IVREA - CHIVASSO,,2,,804040
ITRP-RO200_6530_20221211_20231209,ITRP-AG000174,006530,IVREA - NOVARA,,2,,804040
ITRP-RO200_6406_20221211_20231209,ITRP-AG000174,006406,IVREA - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6520_20221211_20231209,ITRP-AG000174,006520,LIMONE - CUNEO,,2,,804040
ITRP-RO200_6522_20221211_20231209,ITRP-AG000174,006522,LIMONE - FOSSANO,,2,,804040
ITRP-RO200_6398_20221211_20231209,ITRP-AG000174,006398,MI.P.GARIBALDI - ASTI,,2,,804040
ITRP-RO200_6709_20221211_20231209,ITRP-AG000174,006709,MI.P.GARIBALDI - DOMODOSSOLA,,2,,804040
ITRP-RO200_6497_20221211_20231209,ITRP-AG000174,006497,MI.P.GARIBALDI - DOMODOSSOLA,,2,,804040
ITRP-RO200_6387_20221211_20231209,ITRP-AG000174,006387,MI.P.GARIBALDI - TO.LINGOTTO,,2,,804040
ITRP-RO200_6381_20221211_20231209,ITRP-AG000174,006381,MI.P.GARIBALDI - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6399_20221211_20231209,ITRP-AG000174,006399,MILANO CENTRALE - ASTI,,2,,804040
ITRP-RO200_6383_20221211_20231209,ITRP-AG000174,006383,MILANO CENTRALE - TORINO P.NUOVA,,2,,804040
ITRP-RO200_6528_20221211_20231209,ITRP-AG000174,006528,MORTARA - ALESSANDRIA,,2,,804040
ITRP-RO200_6525_20221211_20231209,ITRP-AG000174,006525,NOVARA - ALESSANDRIA,,2,,804040
ITRP-RO200_6547_20221211_20231209,ITRP-AG000174,006547,NOVARA - ARONA,,2,,804040
