trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
ITRP-TR200_6539_66018,6:45:00,6:45:00,ITRP-ST0060019001,1,0.0
ITRP-TR200_6539_66018,6:52:00,6:53:00,ITRP-ST0061689001,2,6.1
ITRP-TR200_6539_66018,6:59:00,7:04:00,ITRP-ST0060439001,3,12.88
ITRP-TR200_6539_66018,7:13:00,7:14:00,ITRP-ST0060199001,4,22.97
ITRP-TR200_6539_66018,7:26:00,7:26:00,ITRP-ST0060039003,5,33.91
ITRP-TR200_6539_66022,9:42:00,9:42:00,ITRP-ST0060019001,1,0.0
ITRP-TR200_6539_66022,9:47:00,9:48:00,ITRP-ST0061689001,2,6.1
ITRP-TR200_6539_66022,9:53:00,9:54:00,ITRP-ST0060439001,3,12.88
ITRP-TR200_6539_66022,10:04:00,10:05:00,ITRP-ST0060199001,4,22.97
ITRP-TR200_6539_66022,10:20:00,10:20:00,ITRP-ST0060039003,5,33.91
ITRP-TR200_6540_66039,5:45:00,5:45:00,ITRP-ST0060019001,1,0.0
ITRP-TR200_6540_66039,5:49:30,5:50:00,ITRP-ST0061729001,2,3.85
ITRP-TR200_6540_66039,5:54:30,5:55:00,ITRP-ST0060179001,3,8.98
ITRP-TR200_6540_66039,5:59:00,6:00:00,ITRP-ST0061349001,4,13.12
ITRP-TR200_6540_66039,6:04:30,6:05:00,ITRP-ST0061069001,5,17.29
ITRP-TR200_6540_66039,6:09:00,6:10:00,ITRP-ST0050649001,6,21.4
ITRP-TR200_6540_66039,6:14:00,6:15:00,ITRP-ST0061659001,7,25.5
ITRP-TR200_6540_66039,6:18:30,6:19:00,ITRP-ST0060939001,8,28.63
ITRP-TR200_6540_66039,6:24:00,6:25:00,ITRP-ST0090489001,9,33.52
ITRP-TR200_6540_66039,6:29:00,6:30:00,ITRP-ST0090279001,10,38.1
ITRP-TR200_6540_66039,6:33:30,6:34:00,ITRP-ST0090159003,11,40.96
ITRP-TR200_6540_66039,6:39:00,6:40:00,ITRP-ST0090159002,12,45.3
ITRP-TR200_6540_66039,6:51:00,6:52:00,ITRP-ST0090159001,13,48.01
ITRP-TR200_6540_66039,7:17:00,7:17:00,ITRP-ST0090569001,14,68.3
ITRP-TR200_6540_66047,13:24:00,13:24:00,ITRP-ST0060019001,1,0.0
ITRP-TR200_6540_66047,13:28:00,13:29:00,ITRP-ST0061729001,2,3.85
ITRP-TR200_6540_66047,13:38:30,13:39:00,ITRP-ST0060179001,3,8.98
ITRP-TR200_6540_66047,13:43:00,13:44:00,ITRP-ST0061349001,4,13.12
ITRP-TR200_6540_66047,13:48:30,13:49:00,ITRP-ST0061069001,5,17.29
ITRP-TR200_6540_66047,13:54:00,13:55:00,ITRP-ST0050649001,6,21.4
ITRP-TR200_6540_66047,14:01:00,14:06:00,ITRP-ST0061659001,7,25.5
ITRP-TR200_6540_66047,14:10:30,14:11:00,ITRP-ST0060939001,8,28.63
ITRP-TR200_6540_66047,14:15:00,14:16:00,ITRP-ST0090489001,9,33.52
ITRP-TR200_6540_66047,14:20:00,14:21:00,ITRP-ST0090279001,10,38.1
ITRP-TR200_6540_66047,14:24:30,14:25:00,ITRP-ST0090159003,11,40.96
ITRP-TR200_6540_66047,14:29:30,14:30:00,ITRP-ST0090159002,12,45.3
ITRP-TR200_6540_66047,14:36:00,14:37:00,ITRP-ST0090159001,13,48.01
ITRP-TR200_6540_66047,15:00:00,15:00:00,ITRP-ST0090569001,14,68.3
ITRP-TR200_6540_66056,5:45:00,5:45:00,ITRP-ST0060019001,1,0.0
ITRP-TR200_6540_66056,5:49:30,5:50:00,ITRP-ST0061729001,2,3.85
ITRP-TR200_6540_66056,5:54:30,5:55:00,ITRP-ST0060179001,3,8.98
ITRP-TR200_6540_66056,5:59:00,6:00:00,ITRP-ST0061349001,4,13.12
ITRP-TR200_6540_66056,6:04:30,6:05:00,ITRP-ST0061069001,5,17.29
ITRP-TR200_6540_66056,6:09:00,6:10:00,ITRP-ST0050649001,6,21.4
ITRP-TR200_6540_66056,6:14:00,6:15:00,ITRP-ST0061659001,7,25.5
ITRP-TR200_6540_66056,6:18:30,6:19:00,ITRP-ST0060939001,8,28.63
ITRP-TR200_6540_66056,6:24:00,6:25:00,ITRP-ST0090489001,9,33.52
ITRP-TR200_6540_66056,6:29:00,6:30:00,ITRP-ST0090279001,10,38.1
ITRP-TR200_6540_66056,6:33:30,6:34:00,ITRP-ST0090159003,11,40.96
ITRP-TR200_6540_66056,6:39:00,6:40:00,ITRP-ST0090159002,12,45.3
ITRP-TR200_6540_66056,6:51:00,6:52:00,ITRP-ST0090159001,13,48.01
ITRP-TR200_6540_66056,7:17:00,7:17:00,ITRP-ST0090569001,14,68.3
ITRP-TR200_6592_63863,6:30:00,6:30:00,ITRP-ST0040039001,1,0.0
ITRP-TR200_6592_63863,6:42:00,6:43:00,ITRP-ST0042129001,2,10.73
ITRP-TR200_6592_63863,6:52:00,6:54:00,ITRP-ST0040299002,3,17.49
ITRP-TR200_6592_63863,6:59:00,7:00:00,ITRP-ST0040299001,4,21.85
ITRP-TR200_6592_63863,7:03:00,7:04:00,ITRP-ST0042089001,5,25.25
ITRP-TR200_6592_63863,7:09:00,7:14:00,ITRP-ST0042229001,6,28.22
ITRP-TR200_6592_63863,7:21:00,7:22:00,ITRP-ST0010599001,7,37.94
ITRP-TR200_6592_63863,7:27:00,7:28:00,ITRP-ST0013089001,8,46.29
ITRP-TR200_6592_63863,7:33:00,7:34:00,ITRP-ST0012809001,9,53.3
ITRP-TR200_6592_63863,7:42:00,7:43:00,ITRP-ST0012729012,10,62.02
ITRP-TR200_6592_63863,7:50:00,7:50:00,ITRP-ST0012729010,11,66.33
ITRP-TR200_6589_63830,6:07:00,6:07:00,ITRP-ST0040039001,1,0.0
ITRP-TR200_6589_63830,6:10:00,6:11:00,ITRP-ST0040039002,2,2.27
ITRP-TR200_6589_63830,6:18:00,6:19:00,ITRP-ST0042129001,3,10.73
ITRP-TR200_6589_63830,6:23:00,6:24:00,ITRP-ST0041709001,4,12.75
ITRP-TR200_6589_63830,6:29:00,6:31:00,ITRP-ST0040299002,5,17.49
ITRP-TR200_6589_63830,6:36:00,6:37:00,ITRP-ST0040299001,6,21.85
ITRP-TR200_6589_63830,6:40:00,6:41:00,ITRP-ST0042089001,7,25.25
ITRP-TR200_6589_63830,6:44:00,6:45:00,ITRP-ST0042229001,8,28.22
ITRP-TR200_6589_63830,6:53:00,6:54:00,ITRP-ST0010599001,9,37.94
ITRP-TR200_6589_63830,6:59:00,7:00:00,ITRP-ST0013089001,10,46.29
ITRP-TR200_6589_63830,7:06:00,7:07:00,ITRP-ST0012809001,11,53.3
ITRP-TR200_6589_63830,7:11:00,7:12:00,ITRP-ST0011569001,12,58.32
ITRP-TR200_6589_63830,7:16:00,7:17:00,ITRP-ST0012729012,13,62.02
ITRP-TR200_6589_63830,7:24:00,7:25:00,ITRP-ST0012729029,14,67.87
ITRP-TR200_6589_63830,7:28:00,7:29:00,ITRP-ST0012729031,15,71.38
ITRP-TR200_6589_63830,7:33:00,7:33:00,ITRP-ST0012729017,16,74.86
ITRP-TR200_6589_63832,7:07:00,7:07:00,ITRP-ST0040039001,1,0.0
ITRP-TR200_6589_63832,7:10:00,7:11:00,ITRP-ST0040039002,2,2.27
ITRP-TR200_6589_63832,7:15:00,7:16:00,ITRP-ST0041429001,3,6.54
ITRP-TR200_6589_63832,7:20:00,7:21:00,ITRP-ST0042129001,4,10.73
ITRP-TR200_6589_63832,7:29:00,7:31:00,ITRP-ST0040299002,5,17.49
ITRP-TR200_6589_63832,7:36:00,7:37:00,ITRP-ST0040299001,6,21.85
ITRP-TR200_6589_63832,7:40:00,7:41:00,ITRP-ST0042089001,7,25.25
ITRP-TR200_6589_63832,7:44:00,7:45:00,ITRP-ST0042229001,8,28.22
