stop_id,stop_code,"stop_name","stop_desc",stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
ITRP-ST0012569001,0012569001,SANT'ANTONINO-VAIE F.S.,,45.109519,7.276238,,,0,
ITRP-ST0010819001,0010819001,CONDOVE-CHIUSA SAN MICHELE F.S.,,45.106779,7.317026,,,0,
ITRP-ST0012559001,0012559001,SANT'AMBROGIO F.S.,,45.10123,7.360993,,,0,
ITRP-ST0010139001,0010139001,AVIGLIANA F.S.,,45.085391,7.401012,,,0,
ITRP-ST0012289001,0012289001,ROSTA F.S.,,45.078308,7.462041,,,0,
ITRP-ST0010809001,0010809001,CHIOMONTE F.S.,,45.11994,6.989024,,,0,
ITRP-ST0010229001,0010229001,BARDONECCHIA F.S.,,45.076424,6.709937,,,0,
ITRP-ST0012329001,0012329001,SALBERTRAND F.S.,,45.073307,6.887422,,,0,
ITRP-ST0020909001,0020909001,PALAZZOLO VERCELLESE F.S.,,45.189045,8.232865,,,0,
ITRP-ST0060209001,0060209001,BORGO SAN MARTINO F.S.,,45.087154,8.520502,,,0,
ITRP-ST0060829001,0060829001,GIAROLE F.S.,,45.05613,8.560884,,,0,
ITRP-ST0060119001,0060119001,BALZOLA F.S.,,45.174112,8.400795,,,0,
ITRP-ST0061099001,0061099001,MORANO SUL PO F.S.,,45.170802,8.366117,,,0,
ITRP-ST0060399002,0060399002,CASALE POPOLO F.S.,,45.160474,8.440552,,,0,
ITRP-ST0060399001,0060399001,CASALE MONFERRATO F.S.,,45.134189,8.460261,,,0,
ITRP-ST0012729029,0012729029,TORINO PORTA SUSA F.S.,,45.071747,7.665371,,,0,
ITRP-ST0010479001,0010479001,CALUSO F.S.,,45.303231,7.902681,,,0,
ITRP-ST0010479002,0010479002,RODALLO F.S.,,45.278692,7.878066,,,0,
ITRP-ST0010339001,0010339001,BOSCONERO - Stazione GTT,,45.267281,7.761999,,,0,
ITRP-ST0012369001,0012369001,SAN BENIGNO - Stazione GTT,,45.2186,7.782102,,,0,
ITRP-ST0013149001,0013149001,VOLPIANO - Stazione GTT,,45.200469,7.779801,,,0,
ITRP-ST0010829003,0010829003,CHIVASSO F.S.,,45.19355,7.889923,,,0,
ITRP-ST0010349001,0010349001,BRANDIZZO F.S.,,45.178878,7.841111,,,0,
ITRP-ST0012659001,0012659001,SETTIMO - Stazione GTT,,45.139779,7.769209,,,0,
ITRP-ST0011619002,0011619002,MONTANARO F.S.,,45.232719,7.858327,,,0,
ITRP-ST0010829002,0010829002,CASTELROSSO F.S.,,45.201875,7.932828,,,0,
ITRP-ST0020119001,0020119001,BIANZE' F.S.,,45.309571,8.115724,,,0,
ITRP-ST0020719001,0020719001,LIVORNO FERRARIS F.S.,,45.283397,8.073508,,,0,
ITRP-ST0021289002,0021289002,SANT'ANTONINO DI SALUGGIA F.S.,,45.25394,8.039711,,,0,
ITRP-ST0021289001,0021289001,SALUGGIA F.S.,,45.234457,8.017143,,,0,
ITRP-ST0012739001,0012739001,TORRAZZA PIEMONTE F.S.,,45.211948,7.970512,,,0,
ITRP-ST0020499002,0020499002,CRESCENTINO F.S.,,45.194302,8.107122,,,0,
ITRP-ST0012939001,0012939001,VEROLENGO F.S.,,45.193067,7.96951,,,0,
ITRP-ST0012939002,0012939002,BORGO REVEL F.S.,,45.189995,8.018306,,,0,
ITRP-ST0010089001,0010089001,ALPIGNANO F.S.,,45.091045,7.524079,,,0,
ITRP-ST0010909001,0010909001,COLLEGNO F.S.,,45.078899,7.574114,,,0,
ITRP-ST0011209001,0011209001,GRUGLIASCO F.S.,,45.068639,7.597978,,,0,
ITRP-ST0151469005,0151469005,MILANO CENTRALE F.S.,,45.486307,9.204329,,,0,
ITRP-ST0151469008,0151469008,MILANO LAMBRATE F.S.,,45.484943,9.236954,,,0,
ITRP-ST0151469002,0151469002,MILANO PORTA GARIBALDI F.S.,,45.483802,9.18748,,,0,
ITRP-ST0061779002,0061779002,VALENZA F.S.,,45.023314,8.625738,,,0,
ITRP-ST0012729010,0012729010,TORINO PORTA NUOVA F.S.,,45.061113,7.677577,,,0,
ITRP-ST0012729017,0012729017,TORINO STURA F.S.,,45.122057,7.713246,,,0,
ITRP-ST0031069001,0031069001,NOVARA F.S.,,45.451179,8.625011,,,0,
ITRP-ST0120709001,0120709001,GALLARATE F.S.,,45.659766,8.798882,,,0,
ITRP-ST0120269002,0120269002,BUSTO ARSIZIO F.S.,,45.616385,8.86509,,,0,
ITRP-ST0030399001,0030399001,CASALEGGIO NOVARA F.S.,,45.491453,8.4899,,,0,
ITRP-ST0031359001,0031359001,NIBBIA F.S.,,45.481372,8.557996,,,0,
ITRP-ST0031069002,0031069002,VIGNALE F.S.,,45.479083,8.61316,,,0,
ITRP-ST0960589001,0960589001,SALUSSOLA F.S.,,45.445088,8.114815,,,0,
ITRP-ST0030699001,0030699001,GARBAGNA F.S.,,45.385615,8.666271,,,0,
ITRP-ST0021339001,0021339001,SANTHIA' F.S.,,45.363718,8.180186,,,0,
ITRP-ST0020179001,0020179001,BORGO VERCELLI F.S.,,45.359238,8.461517,,,0,
ITRP-ST0021319001,0021319001,SAN GERMANO VERCELLESE F.S.,,45.35362,8.249874,,,0,
ITRP-ST0031589001,0031589001,VESPOLATE F.S.,,45.351625,8.671943,,,0,
ITRP-ST0021509001,0021509001,TRONZANO F.S.,,45.34359,8.168911,,,0,
ITRP-ST0021589002,0021589002,VERCELLI F.S.,,45.329838,8.416155,,,0,
ITRP-ST0030239001,0030239001,BORGO LAVEZZARO F.S.,,45.318775,8.703402,,,0,
ITRP-ST0180039001,0180039001,ALBONESE F.S.,,45.297592,8.714732,,,0,
ITRP-ST0011259001,0011259001,IVREA F.S.,,45.461502,7.876345,,,0,
ITRP-ST0012699002,0012699002,STRAMBINO F.S.,,45.382561,7.88791,,,0,
ITRP-ST0011509001,0011509001,MERCENASCO F.S.,,45.353454,7.886346,,,0,
ITRP-ST0012179001,0012179001,RIVAROLO - Stazione GTT,,45.32838,7.726588,,,0,
ITRP-ST0010509001,0010509001,CANDIA CANAVESE F.S.,,45.329851,7.891798,,,0,
ITRP-ST0011029001,0011029001,FELETTO - Stazione GTT,,45.302793,7.74397,,,0,
ITRP-ST0010409001,0010409001,BRUZOLO DI SUSA F.S.,,45.131113,7.201447,,,0,
ITRP-ST0011499001,0011499001,P.C. MEANA,,45.124553,7.059738,,,0,
ITRP-ST0010329001,0010329001,BORGONE F.S.,,45.12331,7.235884,,,0,
ITRP-ST0060439001,0060439001,CASSINE F.S.,,44.751436,8.533663,,,0,
ITRP-ST0090159003,0090159003,ROCCHETTA CAIRO F.S.,,44.428663,8.294873,,,0,
ITRP-ST0060019001,0060019001,ACQUI TERME F.S.,,44.672292,8.473561,,,0,
ITRP-ST0080599001,0080599001,TAGGIA ARMA F.S.,,43.842747,7.846007,,,0,
ITRP-ST0080659001,0080659001,VENTIMIGLIA F.S.,,43.789494,7.623938,,,0,
ITRP-ST9999999003,9999999003,BREIL SUR ROYA F.S.,,43.938467,7.512849,,,0,
ITRP-ST0090029001,0090029001,ALBENGA F.S.,,44.043758,8.220248,,,0,
ITRP-ST0041109001,0041109001,LIMONE F.S.,,44.203784,7.577812,,,0,
ITRP-ST0042019001,0042019001,SALICETO F.S.,,44.40469,8.173633,,,0,
ITRP-ST0090159002,0090159002,CAIRO MONTENOTTE F.S.,,44.402057,8.282162,,,0,
ITRP-ST0151309001,0151309001,MAGENTA F.S.,,45.468195,8.880675,,,0,
ITRP-ST0031499001,0031499001,TRECATE F.S.,,45.428503,8.739441,,,0,
ITRP-ST0031539001,0031539001,VAPRIO D'AGOGNA F.S.,,45.599117,8.53688,,,0,
ITRP-ST0031089001,0031089001,OLEGGIO F.S.,,45.598016,8.632748,,,0,
ITRP-ST0031009001,0031009001,MOMO F.S.,,45.574709,8.55684,,,0,
ITRP-ST0030169001,0030169001,BELLINZAGO F.S.,,45.566753,8.627723,,,0,
ITRP-ST0960209001,0960209001,COSSATO F.S.,,45.564189,8.175918,,,0,
ITRP-ST0960049002,0960049002,BIELLA SAN PAOLO F.S.,,45.557276,8.067614,,,0,
ITRP-ST0960129001,0960129001,CANDELO F.S.,,45.54737,8.100051,,,0,
ITRP-ST0021229002,0021229002,ROVASENDA F.S.,,45.537263,8.317289,,,0,
ITRP-ST0030369001,0030369001,CARPIGNANO SESIA F.S.,,45.52893,8.422861,,,0,
ITRP-ST0030309001,0030309001,CALTIGNAGA F.S.,,45.519208,8.591641,,,0,
ITRP-ST0090569001,0090569001,SAVONA F.S.,,44.302097,8.471051,,,0,
ITRP-ST0090239001,0090239001,CENGIO F.S.,,44.390773,8.192024,,,0,
ITRP-ST0090159001,0090159001,SAN GIUSEPPE DI CAIRO F.S.,,44.369529,8.289295,,,0,
ITRP-ST0042399001,0042399001,VERNANTE F.S.,,44.245119,7.535529,,,0,
ITRP-ST0041859001,0041859001,ROBILANTE F.S.,,44.296528,7.510927,,,0,
ITRP-ST0040259001,0040259001,BORGO SAN DALMAZZO F.S.,,44.326271,7.486133,,,0,
ITRP-ST0041929001,0041929001,ROCCAVIONE F.S.,,44.314395,7.485327,,,0,
ITRP-ST0012709001,0012709001,SUSA F.S.,,45.138411,7.051958,,,0,
ITRP-ST0010449001,0010449001,BUSSOLENO F.S.,,45.139696,7.144506,,,0,
ITRP-ST0011759002,0011759002,BEAULARD F.S.,,45.046913,6.758306,,,0,
ITRP-ST0011759001,0011759001,OULX-CESANA-CLAVIERE-SESTRIERE F.S.,,45.038849,6.831317,,,0,
ITRP-ST1030109001,1030109001,BELGIRATE F.S.,,45.84336,8.570843,,,0,
ITRP-ST0030849001,0030849001,LESA F.S.,,45.825745,8.558779,,,0,
ITRP-ST0031169001,0031169001,PETTENASCO F.S.,,45.820525,8.406752,,,0,
ITRP-ST0031129001,0031129001,ORTA-MIASINO F.S.,,45.795865,8.421191,,,0,
ITRP-ST0030959001,0030959001,MEINA F.S.,,45.794434,8.535541,,,0,
ITRP-ST0030229001,0030229001,BOLZANO NOVARESE F.S.,,45.759586,8.440736,,,0,
ITRP-ST0030089001,0030089001,ARONA F.S.,,45.755414,8.558966,,,0,
ITRP-ST0030629002,0030629002,DORMELLETTO PAESE F.S.,,45.73001,8.574338,,,0,
ITRP-ST0121209001,0121209001,SESTO CALENDE F.S.,,45.726383,8.628632,,,0,
ITRP-ST0030629001,0030629001,DORMELLETTO F.S.,,45.723332,8.582032,,,0,
ITRP-ST0030249001,0030249001,BORGOMANERO F.S.,,45.701085,8.467912,,,0,
ITRP-ST0030259001,0030259001,BORGO TICINO F.S.,,45.692042,8.602392,,,0,
ITRP-ST0031549001,0031549001,VARALLO POMBIA F.S.,,45.670072,8.620026,,,0,
ITRP-ST0030559001,0030559001,CRESSA-FONTANETO F.S.,,45.646353,8.498355,,,0,
ITRP-ST0030919001,0030919001,MARANO TICINO F.S.,,45.629557,8.626151,,,0,
ITRP-ST0031439001,0031439001,SUNO F.S.,,45.620489,8.519263,,,0,
ITRP-ST0030769001,0030769001,GOZZANO F.S.,,45.744187,8.440957,,,0,
ITRP-ST1030289001,1030289001,DOMODOSSOLA F.S.,,46.115411,8.297313,,,0,
ITRP-ST1030529002,1030529002,PALLANZENO F.S.,,46.043632,8.260741,,,0,
ITRP-ST1030539001,1030539001,PIEDIMULERA F.S.,,46.024415,8.261247,,,0,
ITRP-ST1030549001,1030549001,PIEVE VERGONTE F.S.,,46.009855,8.276328,,,0,
ITRP-ST1030779001,1030779001,VOGOGNA OSSOLA F.S.,,46.005701,8.294345,,,0,
ITRP-ST1030579002,1030579002,PREMOSELLO-CHIOVENDA F.S.,,46.002375,8.32708,,,0,
ITRP-ST1030579001,1030579001,CUZZAGO F.S.,,45.993635,8.372841,,,0,
ITRP-ST1030519001,1030519001,ORNAVASSO F.S.,,45.970269,8.415889,,,0,
ITRP-ST1030449001,1030449001,MERGOZZO F.S.,,45.961313,8.440974,,,0,
ITRP-ST1030729001,1030729001,VERBANIA-PALLANZA F.S.,,45.94374,8.4724,,,0,
ITRP-ST1030359001,1030359001,GRAVELLONA TOCE F.S.,,45.934109,8.428328,,,0,
ITRP-ST1030089001,1030089001,BAVENO F.S.,,45.90924,8.502069,,,0,
ITRP-ST1030509002,1030509002,OMEGNA-CRUSINALLO F.S.,,45.898183,8.413911,,,0,
ITRP-ST1030649001,1030649001,STRESA F.S.,,45.884344,8.531764,,,0,
ITRP-ST1030509001,1030509001,OMEGNA F.S.,,45.871898,8.413308,,,0,
ITRP-ST1030759001,1030759001,VILLADOSSOLA F.S.,,46.063272,8.264365,,,0,
ITRP-ST0040789001,0040789001,CUNEO F.S.,,44.387999,7.536186,,,0,
ITRP-ST0041999001,0041999001,SALE DELLE LANGHE F.S.,,44.392412,8.077447,,,0,
ITRP-ST0040669001,0040669001,CEVA F.S.,,44.389798,8.031945,,,0,
ITRP-ST0042429001,0042429001,VICOFORTE-SAN MICHELE F.S.,,44.373955,7.894773,,,0,
ITRP-ST0042329001,0042329001,TRINITA'-BENE VAGIENNA F.S.,,44.504689,7.752765,,,0,
ITRP-ST0041149001,0041149001,MAGLIANO-CRAVA-MOROZZO F.S.,,44.445231,7.777752,,,0,
ITRP-ST0090279001,0090279001,DEGO F.S.,,44.448825,8.308942,,,0,
ITRP-ST0090489001,0090489001,PIANA F.S.,,44.480523,8.311771,,,0,
ITRP-ST0061659001,0061659001,SPIGNO F.S.,,44.53909,8.317805,,,0,
ITRP-ST0050649001,0050649001,MOMBALDONE-ROCCAVERANO F.S.,,44.569917,8.332685,,,0,
ITRP-ST0061349001,0061349001,PONTI F.S.,,44.630051,8.365295,,,0,
ITRP-ST0060179001,0060179001,BISTAGNO F.S.,,44.659293,8.372188,,,0,
ITRP-ST0061729001,0061729001,TERZO-MONTABONE F.S.,,44.671964,8.428723,,,0,
ITRP-ST0061689001,0061689001,STREVI F.S.,,44.697816,8.525482,,,0,
ITRP-ST0060789002,0060789002,SEZZADIO F.S.,,44.80005,8.549717,,,0,
ITRP-ST0061609001,0061609001,SERRAVALLE SCRIVIA F.S.,,44.724384,8.858241,,,0,
ITRP-ST0060099002,0060099002,ARQUATA SCRIVIA F.S.,,44.692389,8.885175,,,0,
ITRP-ST0040619001,0040619001,CENTALLO F.S.,,44.496191,7.591091,,,0,
ITRP-ST0060939001,0060939001,MERANA F.S.,,44.519296,8.298251,,,0,
ITRP-ST0061069001,0061069001,MONTECHIARO-DENICE F.S.,,44.600928,8.352195,,,0,
ITRP-ST0061149001,0061149001,NOVI LIGURE F.S.,,44.76253,8.787271,,,0,
ITRP-ST0060039004,0060039004,SAN GIULIANO PIEMONTE F.S.,,44.890543,8.760966,,,0,
ITRP-ST0060039007,0060039007,SPINETTA MARENGO F.S.,,44.882405,8.683283,,,0,
ITRP-ST0060759001,0060759001,FRUGAROLO-BOSCOMARENGO F.S.,,44.841669,8.682701,,,0,
ITRP-ST0040039001,0040039001,ALBA F.S.,,44.697718,8.030669,,,0,
ITRP-ST0012809001,0012809001,TROFARELLO F.S.,,44.980217,7.735451,,,0,
ITRP-ST0010489001,0010489001,CAMBIANO-SANTENA F.S.,,44.9664,7.773989,,,0,
ITRP-ST0010789001,0010789001,PESSIONE F.S.,,44.965109,7.841304,,,0,
ITRP-ST0013089001,0013089001,VILLASTELLONE F.S.,,44.920571,7.7495,,,0,
ITRP-ST0042229001,0042229001,SOMMARIVA DEL BOSCO F.S.,,44.770791,7.777086,,,0,
ITRP-ST0051189001,0051189001,VILLANOVA D'ASTI F.S.,,44.963158,7.947056,,,0,
ITRP-ST0051019001,0051019001,SAN PAOLO SOLBRITO F.S.,,44.951744,7.97575,,,0,
ITRP-ST0051179001,0051179001,VILLAFRANCA-CANTARANA F.S.,,44.908916,8.043675,,,0,
ITRP-ST0050079001,0050079001,BALDICHIERI-TIGLIOLE F.S.,,44.89919,8.091187,,,0,
ITRP-ST0050059001,0050059001,ASTI F.S.,,44.894864,8.207666,,,0,
