route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,train_category
ITRP-RO200_6539_20221211_20231209,ITRP-TS200_6539_66018_20230804_20231209,ITRP-TR200_6539_66018,ALESSANDRIA F.S.,11450,,,REGIONALE
ITRP-RO200_6539_20221211_20231209,ITRP-TS200_6539_66022_20230804_20231209,ITRP-TR200_6539_66022,ALESSANDRIA F.S.,11456,,,REGIONALE
ITRP-RO200_6540_20221211_20231209,ITRP-TS200_6540_66039_20230809_20231209,ITRP-TR200_6540_66039,SAVONA F.S.,11451,,,REGIONALE
ITRP-RO200_6540_20221211_20231209,ITRP-TS200_6540_66047_20230809_20231209,ITRP-TR200_6540_66047,SAVONA F.S.,11465,,,REGIONALE
ITRP-RO200_6540_20221211_20231209,ITRP-TS200_6540_66056_20230809_20231209,ITRP-TR200_6540_66056,SAVONA F.S.,11491,,,REGIONALE
ITRP-RO200_6592_20221211_20231209,ITRP-TS200_6592_63863_20221211_20231209,ITRP-TR200_6592_63863,TORINO PORTA NUOVA F.S.,26501,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63830_20221211_20231209,ITRP-TR200_6589_63830,TORINO STURA F.S.,26403,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63832_20221211_20231209,ITRP-TR200_6589_63832,TORINO STURA F.S.,26409,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63834_20221211_20231209,ITRP-TR200_6589_63834,TORINO STURA F.S.,26415,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63836_20221211_20231209,ITRP-TR200_6589_63836,TORINO STURA F.S.,26421,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63838_20221211_20231209,ITRP-TR200_6589_63838,TORINO STURA F.S.,26427,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63840_20221211_20231209,ITRP-TR200_6589_63840,TORINO STURA F.S.,26433,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63842_20221211_20231209,ITRP-TR200_6589_63842,TORINO STURA F.S.,26439,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63844_20221211_20231209,ITRP-TR200_6589_63844,TORINO STURA F.S.,26445,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_65961_20230518_20231209,ITRP-TR200_6589_65961,TORINO STURA F.S.,26451,,,SFM LINEA 4
ITRP-RO200_6589_20221211_20231209,ITRP-TS200_6589_63848_20221211_20231209,ITRP-TR200_6589_63848,TORINO STURA F.S.,26457,,,SFM LINEA 4
