service_id,date,exception_type
"4418_247403","20230812","1"
"4418_247403","20230813","1"
"4418_247403","20230818","1"
"4418_247403","20230819","1"
"4418_247403","20230820","1"
"4418_247403","20230821","1"
"4418_247403","20230822","1"
"4418_247403","20230823","1"
"4418_247403","20230824","1"
"4418_247403","20230825","1"
"4418_247403","20230826","1"
"4418_247403","20230827","1"
"4418_247403","20230828","1"
"4418_247403","20230829","1"
"4418_247403","20230830","1"
"4418_247403","20230831","1"
"4418_247403","20230901","1"
"4418_247403","20230902","1"
"4418_247403","20230903","1"
"4418_247409","20230814","1"
"4418_247409","20230816","1"
"4418_247409","20230817","1"
"4418_247410","20230621","1"
"4418_247410","20230622","1"
"4418_247410","20230623","1"
"4418_247410","20230624","1"
"4418_247410","20230625","1"
"4418_247410","20230626","1"
"4418_247410","20230627","1"
"4418_247410","20230628","1"
"4418_247410","20230629","1"
"4418_247410","20230630","1"
"4418_247410","20230701","1"
"4418_247410","20230702","1"
"4418_247410","20230703","1"
"4418_247410","20230704","1"
"4418_247410","20230705","1"
"4418_247410","20230706","1"
"4418_247410","20230707","1"
"4418_247410","20230708","1"
"4418_247410","20230709","1"
"4418_247410","20230710","1"
"4418_247410","20230711","1"
"4418_247410","20230712","1"
"4418_247410","20230713","1"
"4418_247410","20230714","1"
"4418_247410","20230715","1"
"4418_247410","20230716","1"
"4418_247410","20230717","1"
"4418_247410","20230718","1"
"4418_247410","20230719","1"
"4418_247410","20230720","1"
"4418_247410","20230721","1"
"4418_247410","20230722","1"
"4418_247410","20230723","1"
"4418_247410","20230724","1"
"4418_247410","20230725","1"
"4418_247410","20230726","1"
"4418_247410","20230727","1"
"4418_247410","20230728","1"
"4418_247410","20230729","1"
"4418_247410","20230730","1"
"4418_247410","20230731","1"
"4418_247410","20230801","1"
"4418_247410","20230802","1"
"4418_247410","20230803","1"
"4418_247410","20230804","1"
"4418_247410","20230805","1"
"4418_247410","20230806","1"
"4418_247410","20230807","1"
"4418_247410","20230808","1"
"4418_247410","20230809","1"
"4418_247410","20230810","1"
"4418_247410","20230811","1"
"4418_247410","20230904","1"
"4418_247410","20230905","1"
"4418_247410","20230906","1"
"4418_247410","20230907","1"
"4418_247410","20230908","1"
"4418_247410","20230909","1"
"4418_247410","20230910","1"
"4418_247410","20230911","1"
"4418_247410","20230912","1"
"4418_247410","20230913","1"
"4418_247410","20230914","1"
"4418_247410","20230915","1"
"4418_247410","20230916","1"
"4418_247410","20230917","1"
"4418_247410","20230918","1"
"4418_247410","20230919","1"
"4418_247410","20230920","1"
"4418_247410","20230921","1"
"4418_247410","20230922","1"
"4418_247410","20230923","1"
"4418_247410","20230924","1"
"4418_247410","20230925","1"
"4418_247410","20230926","1"
"4418_247410","20230927","1"
"4418_247410","20230928","1"
"4418_247410","20230929","1"
"4418_247410","20230930","1"
"4418_247410","20231001","1"
"4418_247410","20231002","1"
"4418_247410","20231003","1"
"4418_247410","20231004","1"
"4418_247410","20231005","1"
"4418_247410","20231006","1"
