service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012023091120240621,1,1,1,1,1,1,1,20230911,20240621
0000000012023091820240621,1,1,1,1,1,1,1,20230918,20240621
0000000012023092820240621,1,1,1,1,1,1,1,20230928,20240621
0000000012023100420240621,1,1,1,1,1,1,1,20231004,20240621
0000000022023091120231015,1,1,1,1,1,1,0,20230911,20231015
0000000022023091120240621,1,1,1,1,1,1,0,20230911,20240621
0000000022023091220240621,1,1,1,1,1,1,0,20230912,20240621
0000000022023091920240621,1,1,1,1,1,1,0,20230919,20240621
0000000022023092020240621,1,1,1,1,1,1,0,20230920,20240621
0000000022023092120240621,1,1,1,1,1,1,0,20230921,20240621
0000000022023092720240621,1,1,1,1,1,1,0,20230927,20240621
0000000022023092820240621,1,1,1,1,1,1,0,20230928,20240621
0000000022023100320240621,1,1,1,1,1,1,0,20231003,20240621
0000000022023100420240621,1,1,1,1,1,1,0,20231004,20240621
0000000022023100520240621,1,1,1,1,1,1,0,20231005,20240621
0000000022023100620240621,1,1,1,1,1,1,0,20231006,20240621
0000000022023100920240621,1,1,1,1,1,1,0,20231009,20240621
0000000022023101320240621,1,1,1,1,1,1,0,20231013,20240621
0000000022023101620240621,1,1,1,1,1,1,0,20231016,20240621
0000000022023122220240316,1,1,1,1,1,1,0,20231222,20240316
0000000042023091120231015,1,1,1,1,1,0,0,20230911,20231015
0000000042023091120240621,1,1,1,1,1,0,0,20230911,20240621
0000000042023091220240621,1,1,1,1,1,0,0,20230912,20240621
0000000042023091320240621,1,1,1,1,1,0,0,20230913,20240621
0000000042023091920240621,1,1,1,1,1,0,0,20230919,20240621
0000000042023092020240621,1,1,1,1,1,0,0,20230920,20240621
0000000042023092120240621,1,1,1,1,1,0,0,20230921,20240621
0000000042023092220240621,1,1,1,1,1,0,0,20230922,20240621
0000000052023091120240621,1,1,1,1,1,1,0,20230911,20240621
0000000052023091220240621,1,1,1,1,1,1,0,20230912,20240621
0000000052023091820240621,1,1,1,1,1,1,0,20230918,20240621
0000000052023091920240621,1,1,1,1,1,1,0,20230919,20240621
0000000052023092120240621,1,1,1,1,1,1,0,20230921,20240621
0000000052023092720240621,1,1,1,1,1,1,0,20230927,20240621
0000000052023092820240621,1,1,1,1,1,1,0,20230928,20240621
0000000052023100420240621,1,1,1,1,1,1,0,20231004,20240621
0000000052023100520240621,1,1,1,1,1,1,0,20231005,20240621
0000000052023100620240621,1,1,1,1,1,1,0,20231006,20240621
0000000062023091120240621,1,1,1,1,1,0,0,20230911,20240621
0000000062023091220240621,1,1,1,1,1,0,0,20230912,20240621
0000000062023091420240621,1,1,1,1,1,0,0,20230914,20240621
0000000062023091920240621,1,1,1,1,1,0,0,20230919,20240621
0000000062023092120240621,1,1,1,1,1,0,0,20230921,20240621
0000000062023100320240621,1,1,1,1,1,0,0,20231003,20240621
0000000062023100420240621,1,1,1,1,1,0,0,20231004,20240621
0000000062023100620240621,1,1,1,1,1,0,0,20231006,20240621
0000000062023100720240621,1,1,1,1,1,0,0,20231007,20240621
0000000072023091120240621,0,0,0,0,0,0,1,20230911,20240621
0000000072023091220240621,0,0,0,0,0,0,1,20230912,20240621
0000000072023092120240621,0,0,0,0,0,0,1,20230921,20240621
0000000072023122420240317,0,0,0,0,0,0,1,20231224,20240317
0000000072023122620240317,0,0,0,0,0,0,1,20231226,20240317
0000000092023091120240621,1,1,1,1,1,1,0,20230911,20240621
0000000092023091220240621,1,1,1,1,1,1,0,20230912,20240621
0000000092023092720240621,1,1,1,1,1,1,0,20230927,20240621
0000000302023091120240621,0,0,0,0,0,0,0,20230911,20240621
0000000322023091120240621,1,1,1,1,1,1,0,20230911,20240621
0000000352023091120240621,0,0,0,0,0,0,0,20230911,20240621
0000000402023091120240621,0,0,0,0,1,0,0,20230911,20240621
0000000412023091120240621,0,0,1,0,0,0,0,20230911,20240621
0000000502023091120240621,0,0,0,1,0,0,0,20230911,20240621
0000000822023091120240621,0,0,0,0,0,1,0,20230911,20240621
0000000822023091220240621,0,0,0,0,0,1,0,20230912,20240621
0000000822023091420240621,0,0,0,0,0,1,0,20230914,20240621
0000000822023100420240621,0,0,0,0,0,1,0,20231004,20240621
0000000822023100620240621,0,0,0,0,0,1,0,20231006,20240621
0000004512023091120231015,0,0,0,0,0,1,0,20230911,20231015
0000004512023091120240621,0,0,0,0,0,1,0,20230911,20240621
0000004512023091220240621,0,0,0,0,0,1,0,20230912,20240621
0000004512023092120240621,0,0,0,0,0,1,0,20230921,20240621
0000004512023092220240621,0,0,0,0,0,1,0,20230922,20240621
0000005552023091120240621,0,1,1,0,1,0,0,20230911,20240621
0000005902023091120240621,1,1,1,1,1,0,0,20230911,20240621
0000005902023122720240213,1,1,1,1,1,0,0,20231227,20240213
0000006202023120820240317,1,1,1,1,1,1,0,20231208,20240317
0000006212022120820240317,0,0,0,0,0,0,1,20221208,20240317
0000006212023120820240317,0,0,0,0,0,0,1,20231208,20240317
0000006222023120820240317,1,1,1,1,1,0,0,20231208,20240317
0000006232023120820240317,0,0,0,0,0,1,0,20231208,20240317
0000006232023121820240317,0,0,0,0,0,1,0,20231218,20240317
0000006262023091120240621,0,1,0,0,1,0,0,20230911,20240621
0000006272023091120240621,0,1,0,0,0,0,0,20230911,20240621
0000006362023091120240621,0,0,0,0,1,0,0,20230911,20240621
0000006372023091120240621,1,1,1,1,0,0,0,20230911,20240621
0000006372023100620240621,1,1,1,1,0,0,0,20231006,20240621
0000006462023091120240621,0,0,0,0,0,1,0,20230911,20240621
0000006512023091120240621,1,0,0,0,0,0,0,20230911,20240621
0000006532023091120240621,1,0,0,1,0,0,0,20230911,20240621
0000006532023091220240621,1,0,0,1,0,0,0,20230912,20240621
0000006782023091120240621,0,1,1,1,1,0,0,20230911,20240621
