service_id,date,exception_type
0000000022023091120240621,20231101,2
0000000022023091120240621,20231208,2
0000000022023091120240621,20231225,2
0000000022023091120240621,20231226,2
0000000022023091120240621,20240101,2
0000000022023091120240621,20240106,2
0000000022023091120240621,20240401,2
0000000022023091120240621,20240425,2
0000000022023091120240621,20240501,2
0000000022023091220240621,20231101,2
0000000022023091220240621,20231208,2
0000000022023091220240621,20231225,2
0000000022023091220240621,20231226,2
0000000022023091220240621,20240101,2
0000000022023091220240621,20240106,2
0000000022023091220240621,20240401,2
0000000022023091220240621,20240425,2
0000000022023091220240621,20240501,2
0000000022023091920240621,20231101,2
0000000022023091920240621,20231208,2
0000000022023091920240621,20231225,2
0000000022023091920240621,20231226,2
0000000022023091920240621,20240101,2
0000000022023091920240621,20240106,2
0000000022023091920240621,20240401,2
0000000022023091920240621,20240425,2
0000000022023091920240621,20240501,2
0000000022023092020240621,20231101,2
0000000022023092020240621,20231208,2
0000000022023092020240621,20231225,2
0000000022023092020240621,20231226,2
0000000022023092020240621,20240101,2
0000000022023092020240621,20240106,2
0000000022023092020240621,20240401,2
0000000022023092020240621,20240425,2
0000000022023092020240621,20240501,2
0000000022023092120240621,20231101,2
0000000022023092120240621,20231208,2
0000000022023092120240621,20231225,2
0000000022023092120240621,20231226,2
0000000022023092120240621,20240101,2
0000000022023092120240621,20240106,2
0000000022023092120240621,20240401,2
0000000022023092120240621,20240425,2
0000000022023092120240621,20240501,2
0000000022023092720240621,20231101,2
0000000022023092720240621,20231208,2
0000000022023092720240621,20231225,2
0000000022023092720240621,20231226,2
0000000022023092720240621,20240101,2
0000000022023092720240621,20240106,2
0000000022023092720240621,20240401,2
0000000022023092720240621,20240425,2
0000000022023092720240621,20240501,2
0000000022023092820240621,20231101,2
0000000022023092820240621,20231208,2
0000000022023092820240621,20231225,2
0000000022023092820240621,20231226,2
0000000022023092820240621,20240101,2
0000000022023092820240621,20240106,2
0000000022023092820240621,20240401,2
0000000022023092820240621,20240425,2
0000000022023092820240621,20240501,2
0000000022023100320240621,20231101,2
0000000022023100320240621,20231208,2
0000000022023100320240621,20231225,2
0000000022023100320240621,20231226,2
0000000022023100320240621,20240101,2
0000000022023100320240621,20240106,2
0000000022023100320240621,20240401,2
0000000022023100320240621,20240425,2
0000000022023100320240621,20240501,2
0000000022023100420240621,20231101,2
0000000022023100420240621,20231208,2
0000000022023100420240621,20231225,2
0000000022023100420240621,20231226,2
0000000022023100420240621,20240101,2
0000000022023100420240621,20240106,2
0000000022023100420240621,20240401,2
0000000022023100420240621,20240425,2
0000000022023100420240621,20240501,2
0000000022023100520240621,20231101,2
0000000022023100520240621,20231208,2
0000000022023100520240621,20231225,2
0000000022023100520240621,20231226,2
0000000022023100520240621,20240101,2
0000000022023100520240621,20240106,2
0000000022023100520240621,20240401,2
0000000022023100520240621,20240425,2
0000000022023100520240621,20240501,2
0000000022023100620240621,20231101,2
0000000022023100620240621,20231208,2
0000000022023100620240621,20231225,2
0000000022023100620240621,20231226,2
0000000022023100620240621,20240101,2
0000000022023100620240621,20240106,2
0000000022023100620240621,20240401,2
0000000022023100620240621,20240425,2
0000000022023100620240621,20240501,2
0000000022023100920240621,20231101,2
0000000022023100920240621,20231208,2
0000000022023100920240621,20231225,2
0000000022023100920240621,20231226,2
0000000022023100920240621,20240101,2
0000000022023100920240621,20240106,2
0000000022023100920240621,20240401,2
0000000022023100920240621,20240425,2
0000000022023100920240621,20240501,2
0000000022023101320240621,20231101,2
0000000022023101320240621,20231208,2
0000000022023101320240621,20231225,2
0000000022023101320240621,20231226,2
0000000022023101320240621,20240101,2
0000000022023101320240621,20240106,2
0000000022023101320240621,20240401,2
0000000022023101320240621,20240425,2
0000000022023101320240621,20240501,2
0000000022023101620240621,20231101,2
0000000022023101620240621,20231208,2
0000000022023101620240621,20231225,2
0000000022023101620240621,20231226,2
0000000022023101620240621,20240101,2
0000000022023101620240621,20240106,2
0000000022023101620240621,20240401,2
0000000022023101620240621,20240425,2
0000000022023101620240621,20240501,2
0000000022023122220240316,20231225,2
0000000022023122220240316,20231226,2
0000000022023122220240316,20240101,2
0000000022023122220240316,20240106,2
0000000042023091120240621,20231101,2
0000000042023091120240621,20231208,2
0000000042023091120240621,20231225,2
0000000042023091120240621,20231226,2
0000000042023091120240621,20240101,2
