route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
565,0000000022023091120240621,0003126722023091120240621,Sopramonte,0,SHAPE00068
336,0000004512023091120240621,0003111702023091120240621,Peio,0,SHAPE00108
136,0000000052023091120240621,0003067862023091120240621,Tesero,0,SHAPE00402
1,0000000302023091120240621,0003067032023091120240621,Vigo di Fassa-Strada Neva,1,SHAPE00769
522,0000000062023091120240621,0003103112023091120240621,Castello Tesino,0,SHAPE03169
503,0000000042023091120240621,0003087772023091120240621,Avio Via M.Baldo,0,SHAPE01606
169,0000006462023091120240621,0003094522023091120240621,Borgo Valsugana-C.Intermodale,1,SHAPE01765
102,0000000022023091120240621,0003103192023091120240621,San Martino di Castrozza,1,SHAPE00750
693,0000000022023091120240621,0003126282023091120240621,Trento-Staz. Fs,1,
565,0000000022023091120240621,0003126772023091120240621,Sopramonte,0,SHAPE00068
520,0000000022023091120240621,0003097142023091120240621,Trento-Autostaz.,1,SHAPE00139
84,0000000022023091120240621,0003094412023091120240621,Centrale di Bedollo,1,SHAPE00326
423,0000000022023091120240621,0003122532023091120240621,Riva Del G.-Autostaz.,0,SHAPE00233
423,0000000022023091120240621,0003122142023091120240621,Riva Del G.-Autostaz.,0,SHAPE00233
638,0000000012023091120240621,0003127052023091120240621,Ora-Staz. Fs,1,SHAPE00053
169,0000000412023091120240621,0003094492023091120240621,Samone,0,SHAPE01244
397,0000000022023091120240621,0003110702023091120240621,Portolo,0,SHAPE00830
638,0000000072023091120240621,0003127242023091120240621,Ora-Staz. Fs,1,SHAPE00053
233,0000000022023091120240621,0003088822023091120240621,Corne',0,SHAPE01864
188,0000000042023091120240621,0003097662023091120240621,Tenna,1,SHAPE00308
151,0000000042023091120240621,0003064442023091120240621,Trento-Autostaz.,1,SHAPE00424
507,0000000052023091120240621,0003085942023091120240621,Ala-Staz. Fs.,0,SHAPE00314
354,0000000022023091120240621,0003110892023091120240621,Cles Autostazione,1,SHAPE00411
138,0000000022023091120240621,0003100072023091120240621,Baselga Municipio,1,SHAPE00029
134,0000000042023091120240621,0003075562023091120240621,Trento-Autostaz.,1,SHAPE00461
326,0000000072023091120240621,0003112262023091120240621,M.Campiglio Pietra Gr.,0,SHAPE00729
198,0000000022023091120240621,0003087522023091120240621,Serrada Via Pasubio,1,SHAPE00230
316,0000004512023091120240621,0003061942023091120240621,Falcade,0,SHAPE00017
73,0000000412023091120240621,0003075772023091120240621,Montagne Binio,0,SHAPE01321
161,0000000092023091120240621,0003071912023091120240621,Ponte Arche Autostaz.,1,SHAPE00849
134,0000000042023091120240621,0003075632023091120240621,Sarche-Centro Comm.,1,SHAPE00793
336,0000000072023091120240621,0003111602023091120240621,Mezzana-Staz Ftm,1,SHAPE00222
520,0000000022023091120240621,0003100282023091120240621,Trento-Autostaz.,1,SHAPE00154
