,trip_id,arrival_time,departure_time,stop_id,stop_sequence
0,ftm_train_1,,05:28:00,Male',1
1,ftm_train_1,05:30:00,05:31:00,Terzolas,2
2,ftm_train_1,05:33:00,05:34:00,Caldes,3
3,ftm_train_1,05:35:00,05:35:00,Cavizzana,4
4,ftm_train_1,05:37:00,05:37:00,Cassana,5
5,ftm_train_1,05:39:00,05:39:00,Tozzaga,6
6,ftm_train_1,05:40:00,05:41:00,Bozzana,7
7,ftm_train_1,05:44:00,05:45:00,Mostizzolo,8
8,ftm_train_1,05:48:00,05:48:00,Cles Polo Scolastico,9
9,ftm_train_1,05:50:00,05:51:00,Cles,10
10,ftm_train_1,05:55:00,05:56:00,Tassullo,11
11,ftm_train_1,05:58:00,05:59:00,Dermulo,12
12,ftm_train_1,06:01:00,06:02:00,Taio,13
13,ftm_train_1,06:05:00,06:05:00,Segno,14
14,ftm_train_1,06:07:00,06:08:00,Mollaro,15
15,ftm_train_1,06:15:00,06:16:00,Denno,16
16,ftm_train_1,06:18:00,06:19:00,Crescino,17
17,ftm_train_1,06:20:00,06:20:00,Masi Di Vigo,18
18,ftm_train_1,06:25:00,06:26:00,Mezzolombardo,19
19,ftm_train_1,06:29:00,06:30:00,Mezzocorona Borgata,20
20,ftm_train_1,06:32:00,06:33:00,Mezzocorona,21
21,ftm_train_1,06:35:00,06:37:00,Grumo - San Michele,22
22,ftm_train_1,06:40:00,06:41:00,Nave San Felice,23
23,ftm_train_1,06:43:00,06:44:00,Zambana,24
24,ftm_train_1,06:46:00,06:47:00,Lavis,25
25,ftm_train_1,06:49:00,06:49:00,Lamar,26
26,ftm_train_1,06:50:00,06:50:00,Spini-zona Industriale,27
27,ftm_train_1,06:53:00,06:54:00,Gardolo,28
28,ftm_train_1,06:56:00,06:56:00,Trento Nord-zona Commerciale,29
29,ftm_train_1,07:00:00,,Trento Ftm,30
30,ftm_train_3,,06:11:00,Mezzana,1
31,ftm_train_3,06:12:00,06:12:00,Marilleva 900,2
32,ftm_train_3,06:14:00,06:14:00,Piano Commezzadura Ftm,3
33,ftm_train_3,06:16:00,06:16:00,Daolasa,4
34,ftm_train_3,06:18:00,06:18:00,Mastellina,5
35,ftm_train_3,06:20:00,06:21:00,Dimaro,6
36,ftm_train_3,06:23:00,06:23:00,Monclassico,7
37,ftm_train_3,06:25:00,06:25:00,Croviana,8
38,ftm_train_3,06:28:00,06:30:00,Male',9
39,ftm_train_3,06:45:00,06:45:00,Cles Polo Scolastico,10
40,ftm_train_3,06:47:00,06:49:00,Cles,11
41,ftm_train_3,06:55:00,06:56:00,Dermulo,12
42,ftm_train_3,07:04:00,07:06:00,Mollaro,13
43,ftm_train_3,07:21:00,07:22:00,Mezzolombardo,14
44,ftm_train_3,07:26:00,07:27:00,Mezzocorona,15
45,ftm_train_3,07:36:00,07:37:00,Lavis,16
46,ftm_train_3,07:45:00,07:45:00,Trento Nord-zona Commerciale,17
47,ftm_train_3,07:49:00,,Trento Ftm,18
48,ftm_train_4,,06:11:00,Trento Ftm,1
49,ftm_train_4,06:13:00,06:13:00,Trento Nord-zona Commerciale,2
50,ftm_train_4,06:16:00,06:17:00,Gardolo,3
51,ftm_train_4,06:19:00,06:19:00,Spini-zona Industriale,4
52,ftm_train_4,06:20:00,06:20:00,Lamar,5
53,ftm_train_4,06:23:00,06:24:00,Lavis,6
54,ftm_train_4,06:26:00,06:27:00,Zambana,7
55,ftm_train_4,06:29:00,06:30:00,Nave San Felice,8
56,ftm_train_4,06:33:00,06:36:00,Grumo - San Michele,9
57,ftm_train_4,06:38:00,06:39:00,Mezzocorona,10
58,ftm_train_4,06:41:00,06:42:00,Mezzocorona Borgata,11
59,ftm_train_4,06:45:00,06:47:00,Mezzolombardo,12
60,ftm_train_4,06:51:00,06:51:00,Masi Di Vigo,13
61,ftm_train_4,06:53:00,06:54:00,Crescino,14
62,ftm_train_4,06:56:00,06:57:00,Denno,15
63,ftm_train_4,07:05:00,07:07:00,Mollaro,16
64,ftm_train_4,07:09:00,07:09:00,Segno,17
65,ftm_train_4,07:11:00,07:13:00,Taio,18
66,ftm_train_4,07:16:00,07:18:00,Dermulo,19
67,ftm_train_4,07:20:00,07:21:00,Tassullo,20
68,ftm_train_4,07:25:00,07:27:00,Cles,21
69,ftm_train_4,07:29:00,07:29:00,Cles Polo Scolastico,22
70,ftm_train_4,07:33:00,07:35:00,Mostizzolo,23
71,ftm_train_4,07:38:00,07:39:00,Bozzana,24
72,ftm_train_4,07:41:00,07:41:00,Tozzaga,25
73,ftm_train_4,07:42:00,07:42:00,Cassana,26
74,ftm_train_4,07:43:00,07:43:00,Cavizzana,27
75,ftm_train_4,07:45:00,07:46:00,Caldes,28
76,ftm_train_4,07:48:00,07:49:00,Terzolas,29
77,ftm_train_4,07:52:00,,Male',30
78,ftm_train_5,,06:44:00,Male',1
79,ftm_train_5,06:46:00,06:47:00,Terzolas,2
80,ftm_train_5,06:49:00,06:50:00,Caldes,3
81,ftm_train_5,06:51:00,06:51:00,Cavizzana,4
82,ftm_train_5,06:53:00,06:53:00,Cassana,5
83,ftm_train_5,06:55:00,06:55:00,Tozzaga,6
84,ftm_train_5,06:58:00,06:59:00,Bozzana,7
85,ftm_train_5,07:02:00,07:03:00,Mostizzolo,8
86,ftm_train_5,07:06:00,07:06:00,Cles Polo Scolastico,9
87,ftm_train_5,07:08:00,07:10:00,Cles,10
88,ftm_train_5,07:14:00,07:15:00,Tassullo,11
89,ftm_train_5,07:17:00,07:19:00,Dermulo,12
90,ftm_train_5,07:21:00,07:22:00,Taio,13
91,ftm_train_5,07:25:00,07:25:00,Segno,14
