,route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
0,ftm_route_1,ftm_calendar_1,ftm_train_302,302,302,0
1,ftm_route_1,ftm_calendar_1,ftm_train_301,301,301,1
2,ftm_route_1,ftm_calendar_1,ftm_train_4,4,4,0
3,ftm_route_1,ftm_calendar_1,ftm_train_1,1,1,1
4,ftm_route_1,ftm_calendar_1,ftm_train_6,6,6,0
5,ftm_route_1,ftm_calendar_1,ftm_train_303,303,303,1
6,ftm_route_1,ftm_calendar_2,ftm_train_51,51,51,1
7,ftm_route_1,ftm_calendar_1,ftm_train_3,3,3,1
8,ftm_route_1,ftm_calendar_1,ftm_train_305,305,305,1
9,ftm_route_1,ftm_calendar_1,ftm_train_8,8,8,0
10,ftm_route_1,ftm_calendar_2,ftm_train_52,52,52,0
11,ftm_route_1,ftm_calendar_1,ftm_train_5,5,5,1
12,ftm_route_1,ftm_calendar_1,ftm_train_306,306,306,0
13,ftm_route_1,ftm_calendar_1,ftm_train_7,7,7,1
14,ftm_route_1,ftm_calendar_1,ftm_train_10,10,10,0
15,ftm_route_1,ftm_calendar_1,ftm_train_9,9,9,1
16,ftm_route_1,ftm_calendar_2,ftm_train_53,53,53,1
17,ftm_route_1,ftm_calendar_1,ftm_train_12,12,12,0
18,ftm_route_1,ftm_calendar_2,ftm_train_54,54,54,0
19,ftm_route_1,ftm_calendar_1,ftm_train_14,14,14,0
20,ftm_route_1,ftm_calendar_1,ftm_train_11,11,11,1
21,ftm_route_1,ftm_calendar_1,ftm_train_308,308,308,0
22,ftm_route_1,ftm_calendar_1,ftm_train_16,16,16,0
23,ftm_route_1,ftm_calendar_2,ftm_train_55,55,55,1
24,ftm_route_1,ftm_calendar_1,ftm_train_15,15,15,1
25,ftm_route_1,ftm_calendar_2,ftm_train_56,56,56,0
26,ftm_route_1,ftm_calendar_1,ftm_train_18,18,18,0
27,ftm_route_1,ftm_calendar_1,ftm_train_319,319,319,1
28,ftm_route_1,ftm_calendar_1,ftm_train_44,44,44,0
29,ftm_route_1,ftm_calendar_1,ftm_train_17,17,17,1
30,ftm_route_1,ftm_calendar_1,ftm_train_20,20,20,0
31,ftm_route_1,ftm_calendar_1,ftm_train_309,309,309,1
32,ftm_route_1,ftm_calendar_1,ftm_train_19,19,19,1
33,ftm_route_1,ftm_calendar_2,ftm_train_59,59,59,1
34,ftm_route_1,ftm_calendar_1,ftm_train_24,24,24,0
35,ftm_route_1,ftm_calendar_2,ftm_train_60,60,60,0
36,ftm_route_1,ftm_calendar_1,ftm_train_21,21,21,1
37,ftm_route_1,ftm_calendar_1,ftm_train_26,26,26,0
38,ftm_route_1,ftm_calendar_2,ftm_train_62,62,62,0
39,ftm_route_1,ftm_calendar_1,ftm_train_23,23,23,1
40,ftm_route_1,ftm_calendar_1,ftm_train_25,25,25,1
41,ftm_route_1,ftm_calendar_1,ftm_train_42,42,42,0
42,ftm_route_1,ftm_calendar_2,ftm_train_61,61,61,1
43,ftm_route_1,ftm_calendar_1,ftm_train_27,27,27,1
44,ftm_route_1,ftm_calendar_1,ftm_train_28,28,28,0
45,ftm_route_1,ftm_calendar_2,ftm_train_64,64,64,0
46,ftm_route_1,ftm_calendar_1,ftm_train_30,30,30,0
47,ftm_route_1,ftm_calendar_1,ftm_train_32,32,32,0
48,ftm_route_1,ftm_calendar_1,ftm_train_29,29,29,1
49,ftm_route_1,ftm_calendar_1,ftm_train_34,34,34,0
50,ftm_route_1,ftm_calendar_2,ftm_train_65,65,65,1
51,ftm_route_1,ftm_calendar_1,ftm_train_31,31,31,1
52,ftm_route_1,ftm_calendar_1,ftm_train_46,46,46,0
53,ftm_route_1,ftm_calendar_1,ftm_train_33,33,33,1
54,ftm_route_1,ftm_calendar_1,ftm_train_314,314,314,0
55,ftm_route_1,ftm_calendar_1,ftm_train_35,35,35,1
56,ftm_route_1,ftm_calendar_1,ftm_train_240,240,240,1
