Initial concept,Concepts,ID,Description
educational organization,educational facility,GID-118022,a facility relating to the process of education
agency,provider,GID-57474,someone whose business is to supply a particular service or commodity
route,bus route,GID-45936,the route regularly followed by a passenger bus
route,train route,GID-16009,the route regularly followed by a passenger train
stop,bus stop,GID-45937,a place on a bus route where buses stop to discharge and take on passengers
stop,train stop,GID-16010,a place on a train route where trains stop to discharge and take on passengers
trip stop,journey stop,GID-16003,programmed action of stopping during a journey with a duration
trip,journey,GID-1560,the act of traveling from one place to another
commitment,shift,GID-1704,the act of moving from one place to another
user/person,end user,GID-53816,the ultimate user for which something is intended
calendar,weekly schedule,GID-16001,a weekly organized plan with a start date and an end date
calendar exception,schedule exception,GID-16002,an instance that does not conform to a schedule
domicile,domicile,GID-17703,housing that someone is living in
residence,residence,GID-46085,any address at which you dwell more than temporarily
operates,operates,GID-16011,the action of functioning or carrying out tasks within an organization
composed,composed,GID-89151,made up of individual elements
characterized,characterized,GID-16013,"the state of being distinctly identified or marked by specific qualities, features, or attributes"
localize,localize,GID-113623,identify the location or place of
from or to,from or to,GID-16014,"the directional relationship between two locations, indicating the origin or destination point in a given context"
domiciled,domiciled,GID-16015,state or condition of having a temporary established dwelling in a specific place
reside,reside,GID-16016,state or condition of having one's legal residence in a specific place
specifies occurrence,specifies occurrence,GID-16017,"the explicit definition or indication of the happening, existence, or manifestation of a particular event, incident, or phenomenon"
specifies availability,specifies availability,GID-16018,"the explicit indication or definition of the presence, accessibility, or readiness of a resource, service, or entity."
involvement,involvement,GID-16019,"the active participation, engagement, or inclusion of an individual in a particular activity, situation, or undertaking"
work,work,GID-2962,activity directed toward making or doing something
special needs,special needs,GID-16020,"unique and specific requirements or assistance that individuals may require due to physical, cognitive, emotional, or developmental differences"
occupation,occupation,GID-2999,any activity that occupies a person's attention
name,name,GID-16021,the unique and identifying label assigned to an individual within a social or cultural context
arrive before,arrive before,GID-16022,"the specific temporal parameter indicating the designated time by which an individual, object, or event is expected to reach a particular location or point in time."
leave after,leave after,GID-16023,"the predefined temporal parameter indicating the designated time after which an individual, object, or event is permitted or expected to depart from a specific location or conclude a particular activity"
start date,start date,GID-16024,the date at which something is supposed to begin
end date,end date,GID-16025,the date at which something is supposed to end
weekdays,weekdays,GID-16026,the collective term denoting the standard working days within a traditional weekly cycle
date,date,GID-16027,"specific point on the temporal continuum, typically expressed through a combination of numerical values representing the day, month, and year within a calendrical system"
